Date,blockchain/utxo_created_value_mean
2011-03-11,78.369660906716
2011-03-12,37.0417482212301
2011-03-13,52.1280698000569
2011-03-14,57.3870194603689
2011-03-15,28.1115649337372
2011-03-16,35.3322451172645
2011-03-17,34.3742475429228
2011-03-18,46.7373827649879
2011-03-19,26.4825032420924
2011-03-20,21.0733014755768
2011-03-21,19.3009108467198
2011-03-22,52.2447418944793
2011-03-23,33.0194769803322
2011-03-24,58.3690746865256
2011-03-25,67.1036744842888
2011-03-26,52.2649229662434
2011-03-27,29.2578970906876
2011-03-28,24.8196278830838
2011-03-29,20.9739040846932
2011-03-30,35.0824630019622
2011-03-31,33.2484134081644
2011-04-01,25.9306940549273
2011-04-02,28.2958309903319
2011-04-03,23.4786245139948
2011-04-04,31.9843629425586
2011-04-05,28.9845337622451
2011-04-06,24.4550257323272
2011-04-07,33.0640849680802
2011-04-08,35.1552492400568
2011-04-09,40.3994267441861
2011-04-10,25.8224314003888
2011-04-11,24.1647999374213
2011-04-12,33.3597327619107
2011-04-13,39.1508643877701
2011-04-14,26.3005608107301
2011-04-15,26.6714386470458
2011-04-16,82.0619518456914
2011-04-17,289.217327540066
2011-04-18,22.7055262934681
2011-04-19,379.081981201006
2011-04-20,857.154013401022
2011-04-21,111.130283909091
2011-04-22,39.0683190807248
2011-04-23,36.5124030556125
2011-04-24,24.2503474687005
2011-04-25,19.5936882348907
2011-04-26,26.5516790808318
2011-04-27,28.1386745867686
2011-04-28,25.8719308192287
2011-04-29,106.099826079771
2011-04-30,47.6397623277118
2011-05-01,21.5231417341413
2011-05-02,20.4822410127308
2011-05-03,29.7859794494773
2011-05-04,47.3579636248211
2011-05-05,22.7215529699812
2011-05-06,40.0466675565806
2011-05-07,28.2662599352508
2011-05-08,86.2097125383056
2011-05-09,20.5818477229084
2011-05-10,79.7891782047147
2011-05-11,27.5123264693364
2011-05-12,29.2082283663075
2011-05-13,51.487418803253
2011-05-14,178.251331203345
2011-05-15,35.0449722800175
2011-05-16,22.9553920156956
2011-05-17,19.5188015351549
2011-05-18,14.4195841516272
2011-05-19,15.1212981232761
2011-05-20,30.2976639592051
2011-05-21,59.6906486539774
2011-05-22,70.8307977084314
2011-05-23,34.9567279226503
2011-05-24,26.0582856798716
2011-05-25,24.7828281723615
2011-05-26,28.1607282436561
2011-05-27,50.659274510457
2011-05-28,19.3504383634035
2011-05-29,22.8808369606615
2011-05-30,19.8804587504085
2011-05-31,20.5979833291319
2011-06-01,18.0718285439555
2011-06-02,23.5130602550769
2011-06-03,32.9357011558764
2011-06-04,24.3060133844677
2011-06-05,29.2079274868154
2011-06-06,37.5528861939223
2011-06-07,28.6382828579296
2011-06-08,31.204597700758
2011-06-09,26.9644228021765
2011-06-10,36.0168586849843
2011-06-11,56.5289076167789
2011-06-12,62.8046688358279
2011-06-13,46.4742575375636
2011-06-14,44.3606222166942
2011-06-15,139.592938663512
2011-06-16,300.483715066904
2011-06-17,57.96450685505
2011-06-18,42.515600765791
2011-06-19,154.179719257657
2011-06-20,46.5637296635733
2011-06-21,124.771218874292
2011-06-22,43.3670153808692
2011-06-23,59.7454616434791
2011-06-24,179.648377350637
2011-06-25,466.45237145794
2011-06-26,177.967660101603
2011-06-27,59.2628328497619
2011-06-28,270.78241908764
2011-06-29,114.036739379498
2011-06-30,63.3699772039357
2011-07-01,34.6099613590518
2011-07-02,26.1253349613059
2011-07-03,24.9878898213251
2011-07-04,54.3430449157554
2011-07-05,18.1470897071977
2011-07-06,22.0129290291473
2011-07-07,21.2269140522515
2011-07-08,12.6063268901926
2011-07-09,89.4197858319538
2011-07-10,83.3150601475507
2011-07-11,37.8180745150704
2011-07-12,45.8350509368249
2011-07-13,52.7853021190336
2011-07-14,66.2051289644575
2011-07-15,25.1123049847384
2011-07-16,50.2477935585164
2011-07-17,22.8859127345397
2011-07-18,136.221520277645
2011-07-19,112.736283494907
2011-07-20,21.7179323330869
2011-07-21,53.7370715274045
2011-07-22,64.7206263094408
2011-07-23,27.9167208682371
2011-07-24,23.3690648028593
2011-07-25,53.8623781823468
2011-07-26,51.1619064755319
2011-07-27,53.1277428762382
2011-07-28,134.841470074381
2011-07-29,30.7484026261347
2011-07-30,17.0979548826917
2011-07-31,24.4755263855448
2011-08-01,23.4664543974177
2011-08-02,18.7200372870924
2011-08-03,23.8304688946407
2011-08-04,17.0769167337421
2011-08-05,23.8537100113228
2011-08-06,20.0149593592056
2011-08-07,18.7777517949647
2011-08-08,50.1044060402882
2011-08-09,104.468582292943
2011-08-10,56.1616668570947
2011-08-11,27.40098260319
2011-08-12,21.8702531232543
2011-08-13,16.7724791619653
2011-08-14,20.651727575481
2011-08-15,17.6555960509451
2011-08-16,16.5157590201946
2011-08-17,17.1881048382216
2011-08-18,19.219974674181
2011-08-19,26.0468276111226
2011-08-20,10.7510068797718
2011-08-21,11.2379408813129
2011-08-22,11.2861457351048
2011-08-23,20.2806121549229
2011-08-24,26.5003749313031
2011-08-25,17.2818985335794
2011-08-26,14.4938291495006
2011-08-27,144.149447748545
2011-08-28,10.6341553887816
2011-08-29,12.507537192866
2011-08-30,13.8106953058578
2011-08-31,16.0089560982107
2011-09-01,20.1446813431912
2011-09-02,16.5915681695883
2011-09-03,16.3809089465888
2011-09-04,19.8003109976611
2011-09-05,126.39240233326
2011-09-06,176.44587568483
2011-09-07,38.518488496866
2011-09-08,25.4820952750239
2011-09-09,23.3119410224525
2011-09-10,18.1305531735019
2011-09-11,70.0834561683693
2011-09-12,40.3470392206873
2011-09-13,24.5611461922044
2011-09-14,20.7799920719921
2011-09-15,20.0957777465078
2011-09-16,48.6869847963503
2011-09-17,28.7312577691127
2011-09-18,20.2427825297981
2011-09-19,21.4820852585183
2011-09-20,16.0467323302275
2011-09-21,23.6010628237943
2011-09-22,18.1673087154757
2011-09-23,17.2550684670387
2011-09-24,12.2216755782469
2011-09-25,15.2277492174941
2011-09-26,16.4684767358289
2011-09-27,23.9705221595703
2011-09-28,24.9556455475753
2011-09-29,26.3882117624255
2011-09-30,22.6658046674562
2011-10-01,34.352670626874
2011-10-02,27.9485610269992
2011-10-03,28.6200658393466
2011-10-04,32.6942384243533
2011-10-05,30.4348579034075
2011-10-06,39.9156695199098
2011-10-07,28.5163503722025
2011-10-08,22.7827040594745
2011-10-09,24.8141514271496
2011-10-10,23.7796005432858
2011-10-11,24.5802137059719
2011-10-12,23.898020425159
2011-10-13,27.437528872645
2011-10-14,20.9621918239234
2011-10-15,29.9884836919292
2011-10-16,23.2592191241282
2011-10-17,36.3973952753489
