Date,blockchain/block_interval_median
2012-03-29,410.0
2012-03-30,397.0
2012-03-31,342.0
2012-04-01,430.0
2012-04-02,525.0
2012-04-03,448.0
2012-04-04,386.0
2012-04-05,561.0
2012-04-06,498.0
2012-04-07,487.0
2012-04-08,484.0
2012-04-09,445.0
2012-04-10,445.0
2012-04-11,449.0
2012-04-12,453.0
2012-04-13,474.0
2012-04-14,478.0
2012-04-15,517.0
2012-04-16,390.0
2012-04-17,407.0
2012-04-18,494.0
2012-04-19,390.0
2012-04-20,458.0
2012-04-21,405.0
2012-04-22,432.0
2012-04-23,469.0
2012-04-24,469.0
2012-04-25,489.0
2012-04-26,360.0
2012-04-27,498.0
2012-04-28,422.0
2012-04-29,364.0
2012-04-30,355.0
2012-05-01,353.0
2012-05-02,376.0
2012-05-03,389.0
2012-05-04,432.0
2012-05-05,389.0
2012-05-06,364.0
2012-05-07,377.0
2012-05-08,398.0
2012-05-09,369.0
2012-05-10,466.0
2012-05-11,380.0
2012-05-12,529.0
2012-05-13,419.0
2012-05-14,449.0
2012-05-15,527.0
2012-05-16,494.0
2012-05-17,587.0
2012-05-18,427.0
2012-05-19,405.0
2012-05-20,440.0
2012-05-21,490.0
2012-05-22,568.0
2012-05-23,422.0
2012-05-24,522.0
2012-05-25,371.0
2012-05-26,401.0
2012-05-27,360.0
2012-05-28,424.0
2012-05-29,449.0
2012-05-30,533.0
2012-05-31,449.0
2012-06-01,457.0
2012-06-02,432.0
2012-06-03,421.0
2012-06-04,424.0
2012-06-05,425.0
2012-06-06,434.0
2012-06-07,425.0
2012-06-08,422.0
2012-06-09,355.0
2012-06-10,338.0
2012-06-11,501.0
2012-06-12,376.0
2012-06-13,432.0
2012-06-14,350.0
2012-06-15,379.0
2012-06-16,417.0
2012-06-17,437.0
2012-06-18,338.0
2012-06-19,403.0
