Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-12-18,"1530,81","1552,32","1530,81","1548,92",3724660000,0,0
2017-12-19,"1549,32","1552,21","1535,91","1536,75",3368590000,0,0
2017-12-20,"1538,74","1544,35","1536,23","1540,08",3241030000,0,0
2017-12-21,"1540,46","1551,21","1540,46","1547,11",3273390000,0,0
2017-12-22,"1547,24","1548,25","1541,7","1542,93",2399830000,0,0
2017-12-26,"1542,74","1546,59","1541,21","1544,23",1968780000,0,0
2017-12-27,"1544,39","1550,62","1541,95","1543,94",2202080000,0,0
2017-12-28,"1544,05","1549,04","1542,52","1548,93",2153330000,0,0
2017-12-29,"1549,06","1551,94","1535,51","1535,51",2443490000,0,0
2018-01-02,"1536,12","1550,3","1536,12","1550,01",3357250000,0,0
2018-01-03,"1550,28","1555,08","1547,59","1552,58",3538660000,0,0
2018-01-04,"1552,98","1560,84","1552,37","1555,72",3695260000,0,0
2018-01-05,"1555,87","1560,07","1552,13","1560,01",3236620000,0,0
2018-01-08,"1559,8","1562,99","1548,23","1561,81",3242650000,0,0
2018-01-09,"1562,22","1565,58","1558,86","1560,1",3453480000,0,0
2018-01-10,"1559,01","1561,91","1551,52","1559,8",3576350000,0,0
2018-01-11,"1560,22","1586,79","1560,22","1586,79",3641320000,0,0
2018-01-12,"1587,12","1598,18","1587,12","1591,97",3573970000,0,0
2018-01-16,"1592,91","1604,02","1570,75","1572,97",4325970000,0,0
2018-01-17,"1573,73","1589,13","1573,73","1586,66",3778050000,0,0
2018-01-18,"1586,31","1586,31","1576,41","1576,73",3681470000,0,0
2018-01-19,"1576,5","1597,63","1575,32","1597,63",3609430000,0,0
2018-01-22,"1598,14","1605,17","1595,55","1605,17",3471780000,0,0
2018-01-23,"1604,94","1612,55","1599,21","1610,71",3519650000,0,0
2018-01-24,"1611,69","1615,52","1595,94","1601,77",3994070000,0,0
2018-01-25,"1601,59","1607,79","1594,42","1601,67",3835150000,0,0
2018-01-26,"1602,97","1608,06","1599,5","1608,06",3443230000,0,0
2018-01-29,"1607,81","1607,95","1597,88","1598,11",3573830000,0,0
2018-01-30,"1595,64","1595,64","1579,49","1582,82",3990650000,0,0
2018-01-31,"1584,71","1594,27","1571,26","1574,98",4261280000,0,0
2018-02-01,"1574,73","1582,28","1568,85","1579,87",3938450000,0,0
2018-02-02,"1577,03","1577,03","1547,06","1547,27",4301130000,0,0
2018-02-05,"1544,94","1547,03","1491,06","1491,09",5283460000,0,0
2018-02-06,"1486,85","1512,98","1461,45","1507,17",5891660000,0,0
2018-02-07,"1506,66","1517,0","1503,32","1507,97",4626570000,0,0
2018-02-08,"1508,45","1511,21","1463,74","1463,79",5305440000,0,0
2018-02-09,"1467,72","1487,58","1436,43","1477,84",5680070000,0,0
2018-02-12,"1479,11","1498,11","1466,88","1490,98",4055790000,0,0
2018-02-13,"1489,66","1497,02","1481,94","1494,95",3472870000,0,0
2018-02-14,"1492,76","1523,89","1483,29","1522,1",4003740000,0,0
2018-02-15,"1524,18","1537,77","1516,88","1537,2",3684910000,0,0
2018-02-16,"1536,32","1551,51","1532,22","1543,55",3637460000,0,0
2018-02-20,"1542,38","1546,43","1527,56","1529,99",3627610000,0,0
2018-02-21,"1530,48","1555,28","1530,48","1531,84",3779400000,0,0
2018-02-22,"1532,79","1548,29","1529,2","1529,99",3701270000,0,0
2018-02-23,"1531,35","1549,19","1531,35","1549,19",3189190000,0,0
2018-02-26,"1550,09","1560,74","1544,99","1559,33",3424650000,0,0
2018-02-27,"1559,27","1564,63","1536,47","1536,47",3745080000,0,0
2018-02-28,"1536,8","1543,75","1512,45","1512,45",4230660000,0,0
2018-03-01,"1512,07","1522,47","1494,29","1507,39",4503970000,0,0
2018-03-02,"1506,81","1535,2","1494,0","1533,17",3882450000,0,0
2018-03-05,"1531,99","1550,76","1525,08","1546,05",3710810000,0,0
2018-03-06,"1546,72","1562,2","1538,63","1562,2",3370690000,0,0
2018-03-07,"1560,97","1576,73","1550,47","1574,53",3393270000,0,0
2018-03-08,"1575,65","1580,49","1564,59","1571,97",3212320000,0,0
2018-03-09,"1573,19","1597,3","1573,19","1597,14",3364100000,0,0
2018-03-12,"1597,29","1603,79","1594,11","1601,06",3185020000,0,0
2018-03-13,"1601,65","1609,05","1590,11","1592,05",3301650000,0,0
2018-03-14,"1592,46","1598,33","1582,64","1584,31",3391360000,0,0
2018-03-15,"1584,4","1588,02","1572,16","1576,62",3500330000,0,0
2018-03-16,"1576,58","1588,92","1575,41","1586,05",5372340000,0,0
2018-03-19,"1585,83","1585,83","1553,9","1570,56",3282130000,0,0
2018-03-20,"1570,85","1575,78","1566,75","1570,41",3261030000,0,0
2018-03-21,"1570,4","1587,74","1570,4","1579,3",3415510000,0,0
2018-03-22,"1576,59","1576,59","1543,87","1543,87",3739800000,0,0
2018-03-23,"1544,31","1548,73","1510,08","1510,08",3815080000,0,0
2018-03-26,"1513,54","1543,81","1513,54","1543,72",3511100000,0,0
2018-03-27,"1544,45","1547,71","1508,94","1513,57",3706350000,0,0
2018-03-28,"1513,8","1521,35","1505,64","1513,03",3864500000,0,0
2018-03-29,"1513,31","1540,02","1513,31","1529,43",3565990000,0,0
2018-04-02,"1529,14","1529,14","1482,9","1492,53",3588520000,0,0
2018-04-03,"1493,87","1514,56","1493,87","1512,15",3392810000,0,0
2018-04-04,"1508,6","1534,57","1491,69","1531,66",3350340000,0,0
2018-04-05,"1532,95","1545,28","1532,95","1542,93",3175970000,0,0
2018-04-06,"1540,01","1541,07","1502,63","1513,3",3299700000,0,0
2018-04-09,"1513,9","1533,94","1513,9","1514,46",3062960000,0,0
2018-04-10,"1517,05","1548,08","1517,05","1543,43",3543930000,0,0
2018-04-11,"1542,46","1551,37","1535,76","1546,8",3020760000,0,0
2018-04-12,"1548,03","1562,46","1548,03","1557,33",3021320000,0,0
2018-04-13,"1558,11","1563,75","1545,06","1549,51",2960910000,0,0
2018-04-16,"1550,56","1566,4","1550,51","1563,03",3019700000,0,0
2018-04-17,"1564,87","1582,99","1564,87","1579,8",3234360000,0,0
2018-04-18,"1580,18","1592,04","1580,18","1583,56",3383410000,0,0
2018-04-19,"1582,82","1582,95","1569,16","1573,82",3349370000,0,0
