Date,indicators/average_dormancy_supply_adjusted
2010-11-09,3.3899730246654936e-06
2010-11-10,5.873801796220468e-07
2010-11-11,7.26668521086372e-07
2010-11-12,5.497287843242128e-07
2010-11-13,3.457661176619181e-06
2010-11-14,6.480041081394132e-06
2010-11-15,7.606789552352831e-06
2010-11-16,1.0448866786680217e-06
2010-11-17,7.335683627158987e-07
2010-11-18,9.030063753519968e-07
2010-11-19,3.997038600235877e-06
2010-11-20,9.798088082831433e-07
2010-11-21,3.7556188167250213e-07
2010-11-22,1.414677130818077e-06
2010-11-23,3.9817500329951804e-06
2010-11-24,5.006768368893909e-06
2010-11-25,5.384714102617392e-06
2010-11-26,2.892179557755775e-06
2010-11-27,4.9608695027888595e-06
2010-11-28,1.5887446657656425e-06
2010-11-29,1.6560047706172078e-06
2010-11-30,3.893461913803097e-06
2010-12-01,1.8943355344165337e-06
2010-12-02,7.687845535396322e-06
2010-12-03,1.6480644556598682e-06
2010-12-04,1.8741098593058817e-06
2010-12-05,4.600021387811953e-06
2010-12-06,8.11804627114247e-06
2010-12-07,5.023521378973774e-06
2010-12-08,1.1794446757195283e-06
2010-12-09,2.219582271491745e-06
2010-12-10,4.362926762816883e-06
2010-12-11,2.0426570326768957e-06
2010-12-12,8.826268436093918e-07
2010-12-13,1.8892434333299978e-06
2010-12-14,2.410821164603429e-07
2010-12-15,1.492476311047548e-06
2010-12-16,5.280426113663126e-07
2010-12-17,3.665862630969231e-07
2010-12-18,1.417953996771269e-06
2010-12-19,1.5186395572936487e-06
2010-12-20,7.627453814599871e-06
2010-12-21,1.5919314610277352e-05
2010-12-22,4.718664752118033e-07
2010-12-23,7.16600270538798e-07
2010-12-24,6.837977583692259e-07
2010-12-25,8.09886755649868e-07
2010-12-26,1.0804267300977614e-06
2010-12-27,3.190499905561626e-06
2010-12-28,1.2388876881735458e-06
2010-12-29,2.7152888193374e-06
2010-12-30,1.4740196791929921e-06
2010-12-31,1.9628905831618245e-06
2011-01-01,4.2706994319123233e-07
2011-01-02,6.265386586027364e-06
2011-01-03,1.561829034048933e-06
2011-01-04,6.579542327888809e-07
2011-01-05,1.3868232561496786e-06
2011-01-06,3.313029806890976e-06
2011-01-07,2.1361914656048296e-06
2011-01-08,2.9506223963922496e-06
2011-01-09,1.9811397838526847e-06
2011-01-10,4.9569412430389285e-06
2011-01-11,1.70772068106963e-05
2011-01-12,9.139771378482015e-07
2011-01-13,3.6038352548717454e-06
2011-01-14,3.220483748505501e-06
2011-01-15,9.2149954331386e-07
2011-01-16,5.319248896913209e-06
2011-01-17,2.384206455660624e-06
2011-01-18,1.509554495165931e-06
2011-01-19,1.2180058659698106e-05
2011-01-20,2.287580736495384e-06
2011-01-21,1.9348770221918764e-06
2011-01-22,1.964781220186043e-06
2011-01-23,5.363279852073435e-06
2011-01-24,4.331974616634876e-06
2011-01-25,1.5234973431203711e-06
2011-01-26,8.986752804589972e-06
2011-01-27,5.4597379758234285e-06
2011-01-28,6.863208677048823e-06
2011-01-29,8.358833355178105e-06
2011-01-30,2.192941971013668e-07
2011-01-31,2.1186913447114603e-06
2011-02-01,2.5644032423757464e-06
2011-02-02,3.143300006075275e-06
2011-02-03,1.873122436508796e-06
2011-02-04,3.4715622579007362e-06
2011-02-05,1.719465351065205e-06
2011-02-06,4.500287075309969e-06
2011-02-07,5.841764013724681e-06
2011-02-08,1.032151580787075e-06
2011-02-09,2.9997131268442016e-06
2011-02-10,8.443497808406251e-07
2011-02-11,1.9138599593382716e-06
2011-02-12,8.171721229922774e-07
2011-02-13,9.565972157443019e-07
2011-02-14,1.1086205124073724e-05
2011-02-15,1.1179927946011446e-06
2011-02-16,1.2822744472321395e-06
2011-02-17,5.316367475511944e-07
2011-02-18,1.6123821445677673e-06
2011-02-19,6.273713979935946e-07
2011-02-20,7.657680008639612e-07
2011-02-21,4.409347671453798e-07
2011-02-22,5.211632447251128e-07
2011-02-23,1.9834422230134778e-07
2011-02-24,1.1885138269953625e-06
2011-02-25,6.859193225731375e-07
2011-02-26,4.732077708017866e-06
2011-02-27,2.3344639149990474e-06
2011-02-28,2.277993058941788e-06
2011-03-01,3.4881129996259382e-06
2011-03-02,6.023307421299555e-08
2011-03-03,2.1981656936038426e-07
2011-03-04,5.503323135111794e-07
2011-03-05,1.9063923761263885e-06
2011-03-06,2.2918362564198373e-07
2011-03-07,2.7020362652529505e-07
2011-03-08,8.959260422479276e-07
2011-03-09,9.675708646750978e-08
2011-03-10,2.0001878158978985e-07
2011-03-11,4.80417838935044e-07
2011-03-12,2.0961652558786673e-06
2011-03-13,7.451479527966034e-07
2011-03-14,2.8370829055326046e-06
2011-03-15,2.01956221672122e-06
2011-03-16,6.364535096020541e-06
2011-03-17,1.3712331000672441e-06
2011-03-18,3.909158699387653e-07
2011-03-19,5.537327188611729e-07
2011-03-20,2.5372823189446586e-07
2011-03-21,1.2800198265535512e-06
2011-03-22,6.385624949827605e-07
2011-03-23,1.0158590658029798e-06
2011-03-24,2.50963075487993e-06
2011-03-25,2.5421566777973625e-07
2011-03-26,1.7013847025794312e-06
2011-03-27,1.846800250536746e-06
2011-03-28,8.814599334815733e-07
2011-03-29,6.065689031614683e-07
2011-03-30,4.736169093101469e-07
2011-03-31,6.473110335270412e-07
2011-04-01,1.0522130237077138e-06
2011-04-02,4.5881026378449e-07
2011-04-03,5.852160860681117e-07
2011-04-04,3.6901000272690586e-06
2011-04-05,3.16108552911786e-06
2011-04-06,1.7637511335962153e-06
2011-04-07,9.984871545288305e-07
2011-04-08,1.4055465234586565e-06
2011-04-09,2.590216388363383e-07
2011-04-10,4.899644767034121e-07
2011-04-11,9.474220736917204e-07
2011-04-12,1.9832955717294447e-06
2011-04-13,1.4180581853244116e-06
2011-04-14,1.315058855800082e-06
2011-04-15,4.9068628219224495e-06
2011-04-16,1.3251104642103006e-06
2011-04-17,1.038046673771986e-07
2011-04-18,3.875269820875116e-06
2011-04-19,1.1725733714224445e-07
2011-04-20,4.853497033316862e-08
2011-04-21,3.228298947922177e-07
2011-04-22,3.050031205443253e-06
2011-04-23,4.56993115250658e-06
2011-04-24,2.9414996926125893e-06
2011-04-25,3.4220632522871174e-06
2011-04-26,1.5822272699968782e-06
2011-04-27,1.4335314366075486e-06
2011-04-28,4.040749946350646e-06
2011-04-29,5.854302239964827e-06
2011-04-30,1.4838649962683444e-06
2011-05-01,2.4944955203714153e-06
2011-05-02,3.6522671274825564e-06
2011-05-03,3.369782266307567e-06
2011-05-04,5.311285156568801e-06
2011-05-05,1.388112021108529e-06
2011-05-06,2.35478833359166e-06
2011-05-07,1.2402516036149426e-06
2011-05-08,8.961559482150827e-07
2011-05-09,1.9707745118881172e-06
2011-05-10,1.2142608721960565e-06
2011-05-11,5.343859951649242e-06
2011-05-12,8.031236168668753e-06
2011-05-13,2.7534104596598528e-06
2011-05-14,3.6846631287582474e-07
2011-05-15,1.5437429937924113e-06
2011-05-16,8.444554187437866e-06
2011-05-17,1.4305023689856141e-06
2011-05-18,1.918713225999935e-06
2011-05-19,4.728469861783519e-06
2011-05-20,1.3796847523140013e-06
2011-05-21,9.770267332885371e-07
2011-05-22,2.3095907682591693e-07
2011-05-23,5.582371218261274e-07
2011-05-24,1.6454532115868907e-06
2011-05-25,1.0249922863348782e-06
2011-05-26,7.680654679009745e-07
2011-05-27,8.202942480560789e-07
2011-05-28,1.094052056859553e-06
2011-05-29,5.16605046343079e-07
2011-05-30,1.6751439939523436e-06
2011-05-31,1.1148840021813295e-06
2011-06-01,1.0528660276468444e-06
2011-06-02,5.58733418411447e-06
2011-06-03,4.1542506609323295e-06
2011-06-04,8.560301808832658e-07
2011-06-05,2.6187286539876066e-06
2011-06-06,1.943294664576566e-06
2011-06-07,1.307349249669359e-06
2011-06-08,4.347243790792143e-06
2011-06-09,2.129011731750632e-06
2011-06-10,2.5177174120532395e-06
2011-06-11,1.9409902366874696e-06
2011-06-12,1.0090294884495693e-06
2011-06-13,1.925424952161983e-06
2011-06-14,5.213011786287111e-06
2011-06-15,7.845313219786737e-07
2011-06-16,3.4816248237163975e-07
2011-06-17,7.430975922857991e-07
2011-06-18,1.9552765031805145e-07
2011-06-19,6.155281094363079e-07
2011-06-20,2.9103010122832416e-07
2011-06-21,1.0381002131178905e-07
2011-06-22,8.52962049541524e-08
2011-06-23,2.334906424655205e-07
2011-06-24,9.569193372114484e-08
2011-06-25,1.514467247219239e-08
2011-06-26,2.471932555686716e-07
2011-06-27,1.041963913465015e-06
2011-06-28,1.8332841216631354e-07
2011-06-29,1.5077959655144102e-07
2011-06-30,2.4485236267777323e-07
2011-07-01,2.1381563875729626e-07
2011-07-02,1.5261916284178963e-07
2011-07-03,3.287948527400577e-07
2011-07-04,1.3445220690607416e-07
2011-07-05,2.1243029097416832e-06
2011-07-06,3.316675853483637e-07
2011-07-07,3.5435103750559846e-07
2011-07-08,6.10496488397915e-07
2011-07-09,4.0467587049767526e-08
2011-07-10,3.0390996900596763e-07
2011-07-11,3.383672171532839e-07
2011-07-12,1.3646378686437331e-07
2011-07-13,7.329726175507236e-08
2011-07-14,7.711209990410641e-08
2011-07-15,1.7178502140034313e-07
2011-07-16,5.9164631964153304e-08
2011-07-17,2.9983141443161506e-07
