Date,transactions/transfers_to_exchanges_count
2014-02-09,2312.0
2014-02-10,3185.0
2014-02-11,2757.0
2014-02-12,2237.0
2014-02-13,2372.0
2014-02-14,3225.0
2014-02-15,2578.0
2014-02-16,2932.0
2014-02-17,3135.0
2014-02-18,2862.0
2014-02-19,2929.0
2014-02-20,3135.0
2014-02-21,2914.0
2014-02-22,2438.0
2014-02-23,3066.0
2014-02-24,3565.0
2014-02-25,4342.0
2014-02-26,3971.0
2014-02-27,3603.0
2014-02-28,3472.0
2014-03-01,3282.0
2014-03-02,2580.0
2014-03-03,5811.0
2014-03-04,5182.0
2014-03-05,3728.0
2014-03-06,3939.0
2014-03-07,4071.0
2014-03-08,3730.0
2014-03-09,3992.0
2014-03-10,4859.0
2014-03-11,3930.0
2014-03-12,4398.0
2014-03-13,4616.0
2014-03-14,4638.0
2014-03-15,3912.0
2014-03-16,5129.0
2014-03-17,4396.0
2014-03-18,3690.0
2014-03-19,4289.0
2014-03-20,4920.0
2014-03-21,4913.0
2014-03-22,4753.0
2014-03-23,3840.0
2014-03-24,4888.0
2014-03-25,4326.0
2014-03-26,4343.0
2014-03-27,5202.0
2014-03-28,4661.0
2014-03-29,3773.0
2014-03-30,4218.0
2014-03-31,4313.0
2014-04-01,4686.0
2014-04-02,5052.0
2014-04-03,4667.0
2014-04-04,4505.0
2014-04-05,3952.0
2014-04-06,4018.0
2014-04-07,3903.0
2014-04-08,3898.0
2014-04-09,4201.0
2014-04-10,5337.0
2014-04-11,4882.0
2014-04-12,3433.0
2014-04-13,3919.0
2014-04-14,5619.0
2014-04-15,5421.0
2014-04-16,5820.0
2014-04-17,5890.0
2014-04-18,5585.0
2014-04-19,4992.0
2014-04-20,5012.0
2014-04-21,5268.0
2014-04-22,5602.0
2014-04-23,4805.0
2014-04-24,4996.0
2014-04-25,5230.0
2014-04-26,3902.0
2014-04-27,4125.0
2014-04-28,4439.0
2014-04-29,4633.0
2014-04-30,4679.0
2014-05-01,4460.0
2014-05-02,3888.0
2014-05-03,3598.0
2014-05-04,4027.0
2014-05-05,4973.0
2014-05-06,5210.0
2014-05-07,4923.0
2014-05-08,4814.0
2014-05-09,5092.0
2014-05-10,5127.0
2014-05-11,5487.0
2014-05-12,5481.0
2014-05-13,5746.0
2014-05-14,5109.0
2014-05-15,5533.0
2014-05-16,5490.0
2014-05-17,5121.0
2014-05-18,5222.0
2014-05-19,5611.0
2014-05-20,6492.0
2014-05-21,5585.0
2014-05-22,6249.0
2014-05-23,6029.0
2014-05-24,4516.0
