Date,blockchain/utxo_loss_count
2013-08-08,2802006.0
2013-08-09,2947718.0
2013-08-10,2840989.0
2013-08-11,2789585.0
2013-08-12,2709076.0
2013-08-13,2461588.0
2013-08-14,2366055.0
2013-08-15,2488070.0
2013-08-16,2473169.0
2013-08-17,2330215.0
2013-08-18,2351687.0
2013-08-19,2213286.0
2013-08-20,2148164.0
2013-08-21,1897656.0
2013-08-22,2021020.0
2013-08-23,2091259.0
2013-08-24,2014718.0
2013-08-25,1701233.0
2013-08-26,1820763.0
2013-08-27,1352851.0
2013-08-28,1356100.0
2013-08-29,1196703.0
2013-08-30,896788.0
2013-08-31,788490.0
2013-09-01,615391.0
2013-09-02,752318.0
2013-09-03,790219.0
2013-09-04,1137879.0
2013-09-05,1147140.0
2013-09-06,1706091.0
2013-09-07,1291924.0
