Date,transactions/transfers_count
2018-06-14,396363.0
2018-06-15,392261.0
2018-06-16,298520.0
2018-06-17,322681.0
2018-06-18,345879.0
2018-06-19,367416.0
2018-06-20,377280.0
2018-06-21,375292.0
2018-06-22,401123.0
2018-06-23,337422.0
2018-06-24,359687.0
2018-06-25,440634.0
2018-06-26,374318.0
2018-06-27,381823.0
2018-06-28,385766.0
2018-06-29,380586.0
2018-06-30,277715.0
2018-07-01,234342.0
2018-07-02,279328.0
2018-07-03,277873.0
2018-07-04,266687.0
2018-07-05,312275.0
2018-07-06,258519.0
2018-07-07,259493.0
2018-07-08,319433.0
2018-07-09,315607.0
2018-07-10,308699.0
2018-07-11,285107.0
2018-07-12,269300.0
2018-07-13,263409.0
2018-07-14,264307.0
2018-07-15,252486.0
2018-07-16,335734.0
2018-07-17,327695.0
2018-07-18,347311.0
2018-07-19,330184.0
2018-07-20,342231.0
2018-07-21,313279.0
2018-07-22,304684.0
2018-07-23,327596.0
2018-07-24,365491.0
2018-07-25,355300.0
2018-07-26,355080.0
2018-07-27,343496.0
2018-07-28,333613.0
2018-07-29,320279.0
2018-07-30,357034.0
2018-07-31,379489.0
2018-08-01,366679.0
2018-08-02,338906.0
2018-08-03,349279.0
2018-08-04,296573.0
2018-08-05,307678.0
2018-08-06,335615.0
2018-08-07,355054.0
2018-08-08,381012.0
2018-08-09,354068.0
2018-08-10,355323.0
2018-08-11,319804.0
2018-08-12,293868.0
2018-08-13,336252.0
2018-08-14,344734.0
2018-08-15,313140.0
2018-08-16,328149.0
2018-08-17,343573.0
2018-08-18,269355.0
2018-08-19,264469.0
2018-08-20,325232.0
2018-08-21,292129.0
2018-08-22,291507.0
2018-08-23,306161.0
2018-08-24,304084.0
2018-08-25,294373.0
2018-08-26,295104.0
2018-08-27,311730.0
2018-08-28,331026.0
2018-08-29,283003.0
2018-08-30,302677.0
2018-08-31,309038.0
2018-09-01,320678.0
2018-09-02,299245.0
2018-09-03,326599.0
2018-09-04,313252.0
2018-09-05,337630.0
2018-09-06,347870.0
2018-09-07,303780.0
2018-09-08,267917.0
2018-09-09,277782.0
2018-09-10,307861.0
2018-09-11,297357.0
2018-09-12,306905.0
2018-09-13,311708.0
2018-09-14,276474.0
2018-09-15,249057.0
2018-09-16,234904.0
2018-09-17,279203.0
2018-09-18,265736.0
2018-09-19,284338.0
2018-09-20,280100.0
2018-09-21,319348.0
2018-09-22,260677.0
2018-09-23,249975.0
2018-09-24,259706.0
2018-09-25,274766.0
2018-09-26,264985.0
2018-09-27,276690.0
2018-09-28,274550.0
2018-09-29,239024.0
2018-09-30,260305.0
2018-10-01,258883.0
2018-10-02,252057.0
2018-10-03,270215.0
2018-10-04,283236.0
2018-10-05,288573.0
2018-10-06,297963.0
2018-10-07,248345.0
2018-10-08,272000.0
2018-10-09,252001.0
2018-10-10,264905.0
