Date,transactions/transfers_volume_adjusted_median
2012-12-08,0.93218968
2012-12-09,0.73897279
2012-12-10,1.0
2012-12-11,0.86330952
2012-12-12,0.8821149
2012-12-13,0.88022487
2012-12-14,0.678
2012-12-15,0.63913116
2012-12-16,0.5
2012-12-17,0.59250793
2012-12-18,0.60780056
2012-12-19,0.58812174
2012-12-20,0.72885692
2012-12-21,0.58467733
2012-12-22,0.62319998
2012-12-23,0.53552061
2012-12-24,0.89833337
2012-12-25,0.82194976
2012-12-26,0.64851143
2012-12-27,0.374044
2012-12-28,0.4
2012-12-29,0.33125225
2012-12-30,0.45178316
2012-12-31,0.7
2013-01-01,0.6055
2013-01-02,0.999
2013-01-03,0.874
2013-01-04,0.51772657
2013-01-05,0.7434183
2013-01-06,0.97714006
2013-01-07,0.8
2013-01-08,0.96990896
2013-01-09,0.96315034
2013-01-10,0.61191046
2013-01-11,0.61653015
2013-01-12,0.50728991
2013-01-13,0.4
2013-01-14,0.38131042
2013-01-15,0.76162118
2013-01-16,0.799
2013-01-17,0.72231906
2013-01-18,0.93529573
2013-01-19,0.25
2013-01-20,0.8000392
2013-01-21,0.77781964
2013-01-22,1.02955756
2013-01-23,1.0
2013-01-24,0.999
2013-01-25,0.78144181
2013-01-26,0.59500441
2013-01-27,0.6001544
2013-01-28,0.65134397
2013-01-29,0.999
2013-01-30,0.8593351
2013-01-31,0.55449998
2013-02-01,0.5
2013-02-02,0.77225584
2013-02-03,0.52051603
2013-02-04,0.65
2013-02-05,0.99259
2013-02-06,0.97627546
2013-02-07,0.500462
2013-02-08,0.57418828
2013-02-09,0.6
2013-02-10,0.50412898
2013-02-11,0.55559712
2013-02-12,0.5309088
2013-02-13,0.499962
2013-02-14,0.75348875
2013-02-15,0.5
2013-02-16,0.42581
2013-02-17,0.45
2013-02-18,0.53122252
2013-02-19,0.45
2013-02-20,0.399
2013-02-21,0.4
2013-02-22,0.39344996
2013-02-23,0.4
2013-02-24,0.318962
2013-02-25,0.25107777
2013-02-26,0.397348
2013-02-27,0.32
2013-02-28,0.36228711
2013-03-01,0.34294245
2013-03-02,0.23
2013-03-03,0.21406542
2013-03-04,0.30765997
2013-03-05,0.51924998
2013-03-06,0.41879992
2013-03-07,0.33249998
2013-03-08,0.4
2013-03-09,0.32
2013-03-10,0.25
2013-03-11,0.340775
2013-03-12,0.5356567
2013-03-13,0.5261401
2013-03-14,0.4395
2013-03-15,0.4101
2013-03-16,0.64525
2013-03-17,0.62
2013-03-18,0.999
2013-03-19,0.93345
2013-03-20,0.67608
2013-03-21,0.5
2013-03-22,0.4
2013-03-23,0.27
2013-03-24,0.399
2013-03-25,0.499
2013-03-26,0.61288208
2013-03-27,0.553
2013-03-28,0.42622809
2013-03-29,0.52449765
2013-03-30,0.32081568
2013-03-31,0.32081568
2013-04-01,0.51009287
2013-04-02,0.63479007
2013-04-03,0.639
2013-04-04,0.647195
2013-04-05,0.66575824
2013-04-06,0.5095
2013-04-07,0.242303
2013-04-08,0.55950965
2013-04-09,0.6288737
2013-04-10,1.01062777
2013-04-11,0.67862919
2013-04-12,0.8425924
2013-04-13,0.51589079
2013-04-14,0.23
2013-04-15,0.5866
2013-04-16,0.54021269
2013-04-17,0.56578224
2013-04-18,0.71363109
2013-04-19,0.63485
2013-04-20,0.3
2013-04-21,0.39057741
2013-04-22,0.51448109
2013-04-23,0.41338805
2013-04-24,0.38347
2013-04-25,0.499
2013-04-26,0.50048872
2013-04-27,0.5
2013-04-28,0.369402
2013-04-29,0.46434016
2013-04-30,0.18706306
2013-05-01,0.27821568
2013-05-02,0.3040243
2013-05-03,0.29004376
2013-05-04,0.16218136
2013-05-05,0.199
2013-05-06,0.21774
2013-05-07,0.28461848
2013-05-08,0.32068136
2013-05-09,0.21320386
2013-05-10,0.21322362
2013-05-11,0.1806384
2013-05-12,0.18890677
2013-05-13,0.26255478
2013-05-14,0.223
2013-05-15,0.299
2013-05-16,0.2522742
2013-05-17,0.25
2013-05-18,0.3495
2013-05-19,0.29351972
2013-05-20,0.4840392
2013-05-21,0.58594788
2013-05-22,0.474745
2013-05-23,0.5
2013-05-24,0.5460382
2013-05-25,0.3111871
2013-05-26,0.37707399
2013-05-27,0.3152457
2013-05-28,0.5
2013-05-29,0.50224797
2013-05-30,0.5
2013-05-31,0.5
2013-06-01,0.28843279
2013-06-02,0.32000413
2013-06-03,0.4
2013-06-04,0.51080839
2013-06-05,0.37940407
2013-06-06,0.37500234
2013-06-07,0.58209937
2013-06-08,0.33408104
2013-06-09,0.35567
2013-06-10,0.56500562
2013-06-11,0.5246598
2013-06-12,0.59496616
2013-06-13,0.70404485
2013-06-14,0.69486339
2013-06-15,0.6292
2013-06-16,0.3082564
2013-06-17,0.4995
2013-06-18,0.54274082
2013-06-19,0.51558852
2013-06-20,0.41649
2013-06-21,0.60539493
2013-06-22,0.499
2013-06-23,0.4
2013-06-24,0.6065
2013-06-25,0.6014044
2013-06-26,0.52325623
2013-06-27,0.5
2013-06-28,0.52484251
2013-06-29,0.6384941
2013-06-30,0.52375163
2013-07-01,0.980774
2013-07-02,0.79323949
2013-07-03,1.09346844
2013-07-04,0.91498199
2013-07-05,0.81330433
2013-07-06,0.57
2013-07-07,0.57574412
2013-07-08,0.78336
2013-07-09,1.011424
2013-07-10,1.01002019
2013-07-11,1.28722345
2013-07-12,1.0
2013-07-13,0.699
2013-07-14,0.3909
2013-07-15,0.65177188
2013-07-16,0.9965
2013-07-17,0.79222112
2013-07-18,0.78289516
2013-07-19,0.8
2013-07-20,0.3526566
2013-07-21,0.53194181
2013-07-22,0.68811762
2013-07-23,0.86024713
2013-07-24,0.58
2013-07-25,0.6197843
2013-07-26,0.86146188
2013-07-27,0.37827177
2013-07-28,0.38
2013-07-29,0.75631126
2013-07-30,0.8339871
2013-07-31,0.65887958
2013-08-01,0.6252
2013-08-02,0.62440853
2013-08-03,0.27033722
2013-08-04,0.29808824
2013-08-05,0.5
2013-08-06,0.24891437
2013-08-07,0.25345637
2013-08-08,0.189
2013-08-09,0.308889
2013-08-10,0.32118121
2013-08-11,0.3557042
2013-08-12,0.41047
2013-08-13,0.4899
2013-08-14,0.6
2013-08-15,0.3120196
2013-08-16,0.22036833
2013-08-17,0.099
2013-08-18,0.12027242
2013-08-19,0.14994499
2013-08-20,0.17
2013-08-21,0.266
2013-08-22,0.21232812
2013-08-23,0.254
2013-08-24,0.204985
2013-08-25,0.24043863
2013-08-26,0.31052379
2013-08-27,0.41047
2013-08-28,0.28353702
2013-08-29,0.2
2013-08-30,0.37840565
2013-08-31,0.41047
2013-09-01,0.199
2013-09-02,0.2222
2013-09-03,0.3
2013-09-04,0.36666625
2013-09-05,0.15
2013-09-06,0.1933626
2013-09-07,0.14064955
2013-09-08,0.11902035
2013-09-09,0.1195
2013-09-10,0.15693335
2013-09-11,0.389612
2013-09-12,0.36273044
2013-09-13,0.4995
2013-09-14,0.199
2013-09-15,0.11569234
2013-09-16,0.28078
2013-09-17,0.1616222
2013-09-18,0.20965152
2013-09-19,0.2864
2013-09-20,0.296
