Date,indicators/realized_profit
2016-01-11,6682038.71957026
2016-01-12,4385360.75491631
2016-01-13,3552037.29264245
2016-01-14,1873180.62057207
2016-01-15,5799754.40110141
2016-01-16,3871192.4869604
2016-01-17,2970997.64051322
2016-01-18,2406571.78414068
2016-01-19,2994809.30787496
2016-01-20,8506384.38823404
2016-01-21,6658001.83838246
2016-01-22,3389672.74645813
2016-01-23,5314861.76035227
2016-01-24,4957589.45579182
2016-01-25,7236990.36502226
2016-01-26,3543144.76449402
2016-01-27,3053275.27311395
2016-01-28,1847476.91071068
2016-01-29,2620373.84296897
2016-01-30,4749659.72837911
2016-01-31,2455642.33840668
2016-02-01,3190272.05232583
2016-02-02,1787656.54984961
2016-02-03,552956.193348182
2016-02-04,4927111.62863369
2016-02-05,3549814.03248853
2016-02-06,1674287.44116454
2016-02-07,2069652.38764344
2016-02-08,1230002.91811397
2016-02-09,1049702.108792
2016-02-10,3411117.1248778
2016-02-11,3289261.81411669
2016-02-12,2856063.4886694
2016-02-13,3134590.6158686
2016-02-14,5423190.79806685
2016-02-15,7565142.78628404
2016-02-16,7979009.89740053
2016-02-17,11100565.3898922
2016-02-18,4797572.87097717
2016-02-19,7364063.58419499
2016-02-20,7627109.68062351
2016-02-21,6399878.57243259
2016-02-22,5468031.24093615
2016-02-23,3899597.19410494
2016-02-24,5664287.08097198
2016-02-25,3780923.3150231
2016-02-26,3125391.40548488
2016-02-27,3634296.67683081
2016-02-28,5946228.27074345
2016-02-29,10714905.7042189
2016-03-01,11817017.5393932
2016-03-02,4369859.69839955
2016-03-03,6855249.06705561
2016-03-04,3738885.69552738
2016-03-05,10785827.4162803
2016-03-06,4213521.32959025
2016-03-07,5432364.99759478
2016-03-08,3408210.83691477
2016-03-09,2022817.19999602
2016-03-10,3960095.63054638
2016-03-11,3658914.4617002
2016-03-12,2480684.17458774
2016-03-13,2563192.17531677
2016-03-14,3060236.34550334
2016-03-15,2962998.06579167
2016-03-16,2856922.24855832
2016-03-17,3276166.45136376
2016-03-18,2407496.54495151
2016-03-19,1414414.00033818
2016-03-20,1399592.99468874
2016-03-21,3769255.20103386
2016-03-22,4103554.4232774
2016-03-23,1793582.91560025
2016-03-24,2530653.56495168
2016-03-25,3733287.9923452
2016-03-26,2701394.23543464
2016-03-27,2571005.85702303
2016-03-28,4088725.22647283
2016-03-29,2625494.80334803
2016-03-30,2260957.41419843
2016-03-31,3467401.54686965
2016-04-01,1888439.83073488
2016-04-02,1899601.59537782
2016-04-03,1870053.65007407
2016-04-04,1762369.59669576
2016-04-05,2682567.54667686
2016-04-06,4958522.65710459
2016-04-07,11282636.0528221
2016-04-08,1398533.58430531
2016-04-09,906856.438393646
2016-04-10,6273649.84521056
2016-04-11,2082684.23354091
2016-04-12,4721057.41589969
2016-04-13,1890278.16376555
2016-04-14,1657515.33179636
2016-04-15,2521483.45995906
2016-04-16,2764631.43694247
2016-04-17,1749417.10254862
2016-04-18,1940249.64863683
2016-04-19,2680490.24502027
2016-04-20,4678917.26012056
2016-04-21,5165804.16841041
2016-04-22,5173021.40905149
2016-04-23,2698696.52547434
2016-04-24,6879500.22378312
2016-04-25,11162541.3289175
2016-04-26,8835680.98895654
2016-04-27,4946156.83977995
2016-04-28,4440955.34503317
2016-04-29,3583053.64809963
2016-04-30,2679635.97113666
2016-05-01,5217061.04873391
2016-05-02,2711438.00123821
2016-05-03,2376166.61247744
2016-05-04,3300502.92081319
2016-05-05,2031109.79261407
2016-05-06,6120368.43482593
2016-05-07,4161189.48933647
2016-05-08,2396107.67884131
2016-05-09,3221882.85628487
2016-05-10,4492510.36610057
2016-05-11,4036273.34578036
2016-05-12,2517892.95460372
2016-05-13,2297210.98042466
2016-05-14,3506314.37977715
2016-05-15,1990885.12066694
2016-05-16,1928537.19132738
2016-05-17,17266660.2640904
2016-05-18,3325616.3437021
2016-05-19,4290298.58116871
2016-05-20,4529753.25804162
2016-05-21,1928159.82248271
2016-05-22,1654485.06363372
2016-05-23,3133116.18969383
2016-05-24,1967745.90236683
2016-05-25,4237920.61375209
2016-05-26,3109101.5100823
2016-05-27,20586143.5217615
2016-05-28,18494553.1054249
2016-05-29,20178666.054012
2016-05-30,18653980.1801465
2016-05-31,16117515.5151299
2016-06-01,12064083.9846519
2016-06-02,17297878.913814
2016-06-03,12770340.2814708
2016-06-04,12671871.2964991
2016-06-05,10324292.4089322
2016-06-06,15550532.2605384
2016-06-07,10533932.842731
2016-06-08,11059766.3071522
2016-06-09,8785770.29209604
2016-06-10,9010494.87615353
2016-06-11,8665754.30268074
2016-06-12,39965951.6414564
2016-06-13,66929976.5690679
2016-06-14,24025662.5422309
2016-06-15,31881724.5300582
2016-06-16,72422513.5429856
2016-06-17,35996248.3702528
2016-06-18,22554893.5103309
2016-06-19,14284947.6474786
2016-06-20,19412313.3788337
2016-06-21,26545954.0531405
2016-06-22,15280885.4509283
2016-06-23,18178821.4252942
2016-06-24,26772469.8289842
