Date,transactions/transfers_volume_to_exchanges_sum
2013-12-02,18261.8006815629
2013-12-03,6648.4536560279
2013-12-04,10088.9926968642
2013-12-05,29453.563037316
2013-12-06,23836.8468870266
2013-12-07,26590.8060626565
2013-12-08,16716.6255194493
2013-12-09,11139.9993478641
2013-12-10,10326.3977000758
2013-12-11,10055.0291625431
2013-12-12,9481.87445160538
2013-12-13,9754.63776258112
2013-12-14,5175.5369086878
2013-12-15,8663.24676004598
2013-12-16,23120.1095535621
2013-12-17,21932.6049960981
2013-12-18,51353.4097575669
2013-12-19,26824.1440144306
2013-12-20,21670.091077327
2013-12-21,11071.0155105469
2013-12-22,18943.8273004537
2013-12-23,7926.0278707597
2013-12-24,8545.50344023751
2013-12-25,9977.9938024748
2013-12-26,13260.911585593
2013-12-27,10754.0649285625
2013-12-28,5885.59596654183
2013-12-29,5511.35278921556
2013-12-30,14277.5658319038
2013-12-31,6829.50158937618
2014-01-01,6701.43138296045
2014-01-02,9215.51706774369
2014-01-03,16796.1957210244
2014-01-04,5897.5624233308
2014-01-05,20719.1316338589
2014-01-06,17617.5648688539
2014-01-07,15917.6112998792
2014-01-08,16191.1277393551
2014-01-09,8593.31491312016
2014-01-10,4930.31659548716
2014-01-11,8567.92906971499
2014-01-12,8949.35223753551
2014-01-13,24179.2935764335
2014-01-14,5946.49348389934
2014-01-15,7882.06054606358
2014-01-16,7481.80128277476
2014-01-17,9665.34551996141
2014-01-18,5945.455263891
2014-01-19,6755.60587378072
2014-01-20,10058.5407033087
2014-01-21,9666.7986813935
2014-01-22,7596.57336034512
2014-01-23,7970.90695397772
2014-01-24,10797.8435993616
2014-01-25,6317.16263243422
2014-01-26,7325.305418338
2014-01-27,21131.4832511937
2014-01-28,13913.1580837811
2014-01-29,7470.73447016718
2014-01-30,7390.80652120141
2014-01-31,7505.83438128844
2014-02-01,6492.48641420294
2014-02-02,6299.09365726518
2014-02-03,4734.59662804274
2014-02-04,6092.83960661237
2014-02-05,4041.49474118258
2014-02-06,9815.57161319145
2014-02-07,43062.7096354314
2014-02-08,10742.2368741651
2014-02-09,9078.51540651465
2014-02-10,31925.0981550702
2014-02-11,18193.8842367709
2014-02-12,9617.13086047896
2014-02-13,11563.1169258288
2014-02-14,19174.0791229602
2014-02-15,10936.7211443352
2014-02-16,17364.3856958717
2014-02-17,13128.6128724916
2014-02-18,13480.2869022584
2014-02-19,9503.01201614273
2014-02-20,16137.8449861394
2014-02-21,13285.2659672536
2014-02-22,11788.6172903301
2014-02-23,12571.1158150158
2014-02-24,46833.6774205882
2014-02-25,79066.6667503558
2014-02-26,19961.2611209417
2014-02-27,15940.0966008689
2014-02-28,12157.6613870478
2014-03-01,8359.99363994245
2014-03-02,7392.79037922347
2014-03-03,27530.997893763
2014-03-04,30280.7026113937
2014-03-05,15231.5841078202
2014-03-06,14153.5394139655
2014-03-07,10844.1374282283
2014-03-08,9622.1756181009
2014-03-09,5403.87781499758
2014-03-10,16499.420563486
2014-03-11,8172.71949261859
2014-03-12,14729.2500268562
2014-03-13,12932.8337814567
2014-03-14,10670.2706988813
2014-03-15,6852.6335814427
2014-03-16,4018.92418943133
2014-03-17,14328.8446239555
2014-03-18,13828.2710371139
2014-03-19,8480.76678680731
2014-03-20,13979.7329061615
2014-03-21,20406.3746249197
2014-03-22,9905.36274948116
2014-03-23,5218.30640654906
2014-03-24,12989.6797253763
2014-03-25,17130.5039090228
2014-03-26,18768.315246375
2014-03-27,49920.8051832578
2014-03-28,42590.0678921847
2014-03-29,14679.8188036237
2014-03-30,31379.2464677695
2014-03-31,39465.237450111
2014-04-01,18489.0821427426
2014-04-02,19371.8045175968
2014-04-03,22486.9485415647
2014-04-04,22092.2206887268
2014-04-05,17795.893113112
2014-04-06,10736.2869070679
2014-04-07,9554.18025266494
2014-04-08,8015.12659157739
2014-04-09,13789.5565962406
2014-04-10,47367.1745066774
2014-04-11,25120.3980576443
2014-04-12,10134.2362912467
2014-04-13,8971.21872769241
2014-04-14,16358.620956012
2014-04-15,20748.6360977587
2014-04-16,16416.2956506167
2014-04-17,23055.9734528586
