Date,fees/fee_ratio_multiple
2014-06-27,461.197433351554
2014-06-28,492.1439264170026
2014-06-29,451.2772351774574
2014-06-30,278.56290367082283
2014-07-01,254.51023615625965
2014-07-02,269.66107575777573
2014-07-03,317.6055569350042
2014-07-04,411.3048264794441
2014-07-05,459.1472785680915
2014-07-06,385.678749499151
2014-07-07,335.263678882892
2014-07-08,306.44236323131554
2014-07-09,356.03072436744174
2014-07-10,334.0097369695907
2014-07-11,359.75977265415287
2014-07-12,451.52557527343833
2014-07-13,425.47242359612574
2014-07-14,287.99458672681294
2014-07-15,318.5608879822414
2014-07-16,286.4060854226867
2014-07-17,366.53686040802035
2014-07-18,360.8721225378303
2014-07-19,428.3655771701923
2014-07-20,432.3209984068872
2014-07-21,366.90184173476825
2014-07-22,304.0705199579604
2014-07-23,332.55304909282563
2014-07-24,335.1896905984067
2014-07-25,396.89334691913655
2014-07-26,384.3163054123123
2014-07-27,430.3236661690965
2014-07-28,363.3006194839169
2014-07-29,359.3292206036916
2014-07-30,390.76268864524326
2014-07-31,342.96904293351344
2014-08-01,368.53847110389785
2014-08-02,482.33435739708204
2014-08-03,451.2915902958971
2014-08-04,289.3547501615147
2014-08-05,279.84666728151734
2014-08-06,312.49378674891636
2014-08-07,365.39796299826014
2014-08-08,354.7008309382586
2014-08-09,489.85919967581856
2014-08-10,451.0941139163485
2014-08-11,372.28668081372285
2014-08-12,348.32311753630916
2014-08-13,292.8748050392046
2014-08-14,369.9550512022907
2014-08-15,343.6429893156548
2014-08-16,303.6424616658328
2014-08-17,114.87359058080872
2014-08-18,422.035435247244
2014-08-19,364.23664822871973
2014-08-20,354.0810125772437
2014-08-21,361.85380866467835
2014-08-22,365.964245829007
2014-08-23,470.6681479567108
2014-08-24,404.5609492860942
