Date,addresses/new_non_zero_count
2017-05-14,13573.0
2017-05-15,16782.0
2017-05-16,18532.0
2017-05-17,21508.0
2017-05-18,20235.0
2017-05-19,27540.0
2017-05-20,21709.0
2017-05-21,23703.0
2017-05-22,30386.0
2017-05-23,37331.0
2017-05-24,34578.0
2017-05-25,34355.0
2017-05-26,30875.0
2017-05-27,23458.0
2017-05-28,22505.0
2017-05-29,25500.0
2017-05-30,31968.0
2017-05-31,40911.0
2017-06-01,34727.0
2017-06-02,31088.0
2017-06-03,30147.0
2017-06-04,28634.0
2017-06-05,34548.0
2017-06-06,36450.0
2017-06-07,34857.0
2017-06-08,32484.0
2017-06-09,35641.0
2017-06-10,39679.0
2017-06-11,44872.0
2017-06-12,53155.0
2017-06-13,53853.0
2017-06-14,48486.0
2017-06-15,47406.0
2017-06-16,43512.0
2017-06-17,42572.0
2017-06-18,46592.0
2017-06-19,52290.0
2017-06-20,59603.0
2017-06-21,30248.0
2017-06-22,48081.0
2017-06-23,48959.0
2017-06-24,45570.0
2017-06-25,34447.0
2017-06-26,50456.0
2017-06-27,40576.0
2017-06-28,42425.0
2017-06-29,40479.0
2017-06-30,36249.0
2017-07-01,30471.0
2017-07-02,28862.0
2017-07-03,41896.0
2017-07-04,43317.0
2017-07-05,32967.0
2017-07-06,32264.0
2017-07-07,36073.0
2017-07-08,28696.0
2017-07-09,23364.0
2017-07-10,36192.0
2017-07-11,41868.0
2017-07-12,37174.0
2017-07-13,32283.0
2017-07-14,29515.0
2017-07-15,25202.0
2017-07-16,28948.0
2017-07-17,28132.0
2017-07-18,31757.0
2017-07-19,31022.0
2017-07-20,29602.0
2017-07-21,27693.0
2017-07-22,20594.0
2017-07-23,28320.0
2017-07-24,29558.0
2017-07-25,28810.0
2017-07-26,25504.0
2017-07-27,26173.0
2017-07-28,29083.0
2017-07-29,25165.0
2017-07-30,41241.0
2017-07-31,32674.0
2017-08-01,29548.0
2017-08-02,29946.0
2017-08-03,30883.0
2017-08-04,35268.0
2017-08-05,31068.0
2017-08-06,31600.0
2017-08-07,36455.0
2017-08-08,42596.0
2017-08-09,40907.0
2017-08-10,48586.0
2017-08-11,48547.0
2017-08-12,39469.0
2017-08-13,44733.0
2017-08-14,55700.0
2017-08-15,58715.0
2017-08-16,52017.0
2017-08-17,55855.0
2017-08-18,58166.0
2017-08-19,42870.0
2017-08-20,36228.0
2017-08-21,48371.0
2017-08-22,54095.0
2017-08-23,59630.0
2017-08-24,49105.0
2017-08-25,48044.0
2017-08-26,39029.0
2017-08-27,39738.0
2017-08-28,45815.0
2017-08-29,52640.0
2017-08-30,57493.0
2017-08-31,56775.0
2017-09-01,56222.0
2017-09-02,43181.0
2017-09-03,37002.0
2017-09-04,55711.0
2017-09-05,54507.0
2017-09-06,63128.0
2017-09-07,52446.0
2017-09-08,54813.0
2017-09-09,45643.0
2017-09-10,37631.0
2017-09-11,50925.0
2017-09-12,59437.0
2017-09-13,46577.0
2017-09-14,49674.0
2017-09-15,59190.0
2017-09-16,37983.0
2017-09-17,31644.0
2017-09-18,43801.0
2017-09-19,48664.0
2017-09-20,37273.0
2017-09-21,36171.0
2017-09-22,30159.0
2017-09-23,30283.0
2017-09-24,29264.0
2017-09-25,33919.0
2017-09-26,34600.0
2017-09-27,36079.0
2017-09-28,39684.0
2017-09-29,34749.0
2017-09-30,31108.0
2017-10-01,28497.0
2017-10-02,38903.0
2017-10-03,37609.0
2017-10-04,34613.0
2017-10-05,38447.0
2017-10-06,37256.0
2017-10-07,31210.0
2017-10-08,32565.0
2017-10-09,39723.0
2017-10-10,43592.0
2017-10-11,38419.0
2017-10-12,44104.0
2017-10-13,51364.0
2017-10-14,38772.0
2017-10-15,37631.0
2017-10-16,43385.0
2017-10-17,47582.0
2017-10-18,46566.0
2017-10-19,47056.0
2017-10-20,48032.0
2017-10-21,50476.0
2017-10-22,41447.0
2017-10-23,50151.0
2017-10-24,48723.0
2017-10-25,41890.0
2017-10-26,43475.0
2017-10-27,43060.0
2017-10-28,38695.0
2017-10-29,40048.0
2017-10-30,48243.0
2017-10-31,50993.0
2017-11-01,55356.0
2017-11-02,71185.0
2017-11-03,57124.0
2017-11-04,40164.0
2017-11-05,38210.0
2017-11-06,47725.0
2017-11-07,48265.0
2017-11-08,53650.0
2017-11-09,57633.0
2017-11-10,64927.0
2017-11-11,49239.0
2017-11-12,62803.0
2017-11-13,55784.0
2017-11-14,62508.0
2017-11-15,75286.0
2017-11-16,63203.0
2017-11-17,63134.0
2017-11-18,57364.0
2017-11-19,57134.0
2017-11-20,67502.0
2017-11-21,76335.0
2017-11-22,71122.0
2017-11-23,69271.0
2017-11-24,69731.0
2017-11-25,70971.0
2017-11-26,72559.0
2017-11-27,93015.0
2017-11-28,103111.0
2017-11-29,112438.0
2017-11-30,103902.0
2017-12-01,88824.0
2017-12-02,89148.0
2017-12-03,99347.0
2017-12-04,115414.0
2017-12-05,109607.0
2017-12-06,186711.0
2017-12-07,128441.0
2017-12-08,133863.0
2017-12-09,114219.0
2017-12-10,101874.0
2017-12-11,116360.0
2017-12-12,146297.0
2017-12-13,182458.0
2017-12-14,198391.0
2017-12-15,177201.0
2017-12-16,160185.0
2017-12-17,164672.0
2017-12-18,177065.0
2017-12-19,215350.0
2017-12-20,220019.0
2017-12-21,246630.0
2017-12-22,232659.0
2017-12-23,184105.0
2017-12-24,136894.0
2017-12-25,122598.0
2017-12-26,151121.0
2017-12-27,188798.0
2017-12-28,189975.0
2017-12-29,242244.0
2017-12-30,272672.0
2017-12-31,184493.0
2018-01-01,155489.0
2018-01-02,244648.0
2018-01-03,307508.0
2018-01-04,348434.0
2018-01-05,339608.0
2018-01-06,304163.0
2018-01-07,241654.0
2018-01-08,264032.0
2018-01-09,276592.0
2018-01-10,285524.0
2018-01-11,285711.0
2018-01-12,250197.0
2018-01-13,231418.0
2018-01-14,197344.0
2018-01-15,227703.0
2018-01-16,269508.0
2018-01-17,262788.0
2018-01-18,245649.0
2018-01-19,188638.0
2018-01-20,165571.0
