Date,fees/gas_price_median
2018-03-20,4000000000.0000005
2018-03-21,5000000000.0
2018-03-22,4000000000.0000005
2018-03-23,5000000000.0
2018-03-24,4000000000.0000005
2018-03-25,4000000000.0000005
2018-03-26,5000000000.0
2018-03-27,4000000000.0000005
2018-03-28,4000000000.0000005
2018-03-29,5000000000.0
2018-03-30,4000000000.0000005
2018-03-31,3100000000.0
2018-04-01,3000000000.0
2018-04-02,3000000000.0
2018-04-03,3000000000.0
2018-04-04,2100000000.0000002
2018-04-05,3000000000.0
2018-04-06,2200000000.0
2018-04-07,2000000000.0000002
2018-04-08,2000200000.0000002
2018-04-09,2000000000.0000002
2018-04-10,3000000000.0
2018-04-11,3000000000.0
2018-04-12,4000000000.0000005
2018-04-13,4000000000.0000005
2018-04-14,3000000000.0
2018-04-15,2812500000.0
2018-04-16,3000000000.0
2018-04-17,2500000000.0
2018-04-18,3000000000.0
2018-04-19,3100000000.0
2018-04-20,4000000000.0000005
2018-04-21,3000000000.0
