Date,addresses/receiving_count
2018-03-02,248578.0
2018-03-03,221486.0
2018-03-04,210069.0
2018-03-05,258344.0
2018-03-06,244227.0
2018-03-07,255010.0
2018-03-08,241254.0
2018-03-09,250738.0
2018-03-10,217308.0
2018-03-11,197513.0
2018-03-12,243810.0
2018-03-13,225343.0
2018-03-14,236591.0
2018-03-15,244339.0
2018-03-16,234760.0
2018-03-17,205475.0
2018-03-18,241068.0
2018-03-19,248190.0
2018-03-20,227389.0
2018-03-21,225382.0
2018-03-22,219629.0
2018-03-23,218442.0
2018-03-24,202461.0
2018-03-25,180164.0
2018-03-26,228708.0
2018-03-27,209092.0
2018-03-28,200330.0
2018-03-29,211917.0
2018-03-30,217472.0
2018-03-31,194376.0
2018-04-01,183643.0
2018-04-02,206094.0
2018-04-03,218573.0
2018-04-04,204685.0
2018-04-05,224143.0
2018-04-06,214327.0
2018-04-07,187113.0
2018-04-08,197951.0
2018-04-09,215318.0
2018-04-10,195410.0
2018-04-11,192666.0
2018-04-12,225891.0
2018-04-13,235826.0
2018-04-14,194090.0
2018-04-15,202160.0
2018-04-16,219984.0
2018-04-17,243195.0
2018-04-18,219265.0
2018-04-19,236618.0
2018-04-20,257485.0
2018-04-21,262191.0
2018-04-22,245555.0
2018-04-23,266964.0
2018-04-24,282058.0
2018-04-25,254508.0
2018-04-26,238050.0
2018-04-27,234204.0
2018-04-28,238389.0
2018-04-29,221289.0
2018-04-30,255178.0
2018-05-01,232577.0
2018-05-02,249641.0
2018-05-03,266456.0
2018-05-04,267256.0
2018-05-05,234279.0
2018-05-06,252149.0
2018-05-07,253271.0
2018-05-08,250107.0
2018-05-09,268305.0
2018-05-10,263511.0
2018-05-11,262456.0
2018-05-12,251600.0
2018-05-13,243967.0
2018-05-14,273009.0
2018-05-15,249579.0
2018-05-16,256605.0
2018-05-17,265051.0
2018-05-18,274379.0
2018-05-19,270661.0
2018-05-20,232635.0
2018-05-21,253704.0
2018-05-22,242481.0
2018-05-23,275267.0
2018-05-24,265202.0
2018-05-25,248919.0
2018-05-26,223831.0
2018-05-27,243381.0
2018-05-28,286309.0
2018-05-29,254517.0
2018-05-30,267966.0
2018-05-31,250999.0
2018-06-01,248776.0
2018-06-02,232642.0
2018-06-03,245384.0
2018-06-04,254769.0
2018-06-05,255281.0
2018-06-06,243609.0
2018-06-07,245276.0
2018-06-08,223079.0
2018-06-09,211426.0
2018-06-10,213818.0
2018-06-11,235212.0
2018-06-12,219924.0
2018-06-13,247836.0
2018-06-14,247483.0
2018-06-15,226792.0
2018-06-16,189408.0
2018-06-17,198865.0
2018-06-18,219412.0
2018-06-19,217216.0
2018-06-20,210605.0
2018-06-21,218804.0
2018-06-22,222436.0
2018-06-23,213494.0
2018-06-24,210776.0
2018-06-25,212257.0
2018-06-26,193031.0
2018-06-27,216682.0
2018-06-28,242707.0
2018-06-29,211336.0
2018-06-30,174760.0
2018-07-01,147693.0
2018-07-02,178746.0
2018-07-03,169898.0
2018-07-04,167881.0
2018-07-05,172978.0
2018-07-06,165152.0
2018-07-07,154708.0
2018-07-08,178845.0
2018-07-09,195470.0
2018-07-10,191349.0
2018-07-11,173887.0
2018-07-12,173675.0
2018-07-13,167960.0
2018-07-14,149896.0
2018-07-15,153350.0
2018-07-16,213512.0
2018-07-17,214531.0
2018-07-18,215532.0
2018-07-19,215507.0
2018-07-20,212079.0
2018-07-21,190313.0
2018-07-22,193599.0
2018-07-23,201027.0
2018-07-24,213269.0
2018-07-25,212425.0
2018-07-26,220463.0
2018-07-27,223211.0
2018-07-28,223214.0
2018-07-29,213047.0
2018-07-30,226110.0
2018-07-31,227358.0
2018-08-01,226272.0
2018-08-02,199806.0
2018-08-03,213245.0
2018-08-04,190359.0
2018-08-05,194793.0
2018-08-06,206871.0
2018-08-07,195195.0
2018-08-08,189302.0
2018-08-09,189854.0
2018-08-10,196253.0
2018-08-11,193472.0
2018-08-12,187291.0
2018-08-13,205946.0
2018-08-14,206375.0
2018-08-15,192609.0
2018-08-16,196596.0
2018-08-17,176476.0
2018-08-18,159588.0
2018-08-19,154260.0
2018-08-20,186758.0
2018-08-21,177500.0
2018-08-22,170004.0
2018-08-23,176311.0
2018-08-24,164707.0
2018-08-25,160544.0
2018-08-26,163527.0
2018-08-27,172131.0
2018-08-28,196680.0
2018-08-29,155527.0
2018-08-30,177227.0
2018-08-31,170031.0
2018-09-01,188262.0
2018-09-02,187555.0
2018-09-03,193397.0
2018-09-04,171056.0
2018-09-05,182884.0
2018-09-06,188845.0
2018-09-07,171770.0
2018-09-08,157158.0
2018-09-09,156893.0
2018-09-10,167808.0
2018-09-11,167323.0
2018-09-12,169629.0
2018-09-13,172304.0
2018-09-14,159203.0
2018-09-15,143690.0
2018-09-16,140459.0
2018-09-17,164051.0
2018-09-18,152511.0
2018-09-19,150174.0
2018-09-20,160919.0
2018-09-21,173196.0
2018-09-22,144115.0
2018-09-23,140029.0
2018-09-24,144805.0
2018-09-25,153260.0
2018-09-26,151426.0
2018-09-27,163971.0
2018-09-28,171857.0
2018-09-29,140903.0
2018-09-30,151369.0
2018-10-01,156485.0
2018-10-02,153448.0
2018-10-03,148711.0
