Date,supply/active_1w_1m
2010-12-18,"542913,063716092"
2010-12-19,"510074,400389962"
2010-12-20,"549697,587237292"
2010-12-21,"541460,937986182"
2010-12-22,"547307,324289222"
2010-12-23,"538578,039253902"
2010-12-24,"535848,770523352"
2010-12-25,"528766,987266102"
2010-12-26,"510529,877266102"
2010-12-27,"513358,575759951"
2010-12-28,"536268,134118682"
2010-12-29,"492507,368354982"
2010-12-30,"467142,594036492"
2010-12-31,"466859,568580862"
2011-01-01,"471667,006011381"
2011-01-02,"468835,291023161"
2011-01-03,"469806,577143261"
2011-01-04,"481048,787576691"
2011-01-05,"511591,505687311"
2011-01-06,"504830,326863271"
2011-01-07,"507747,194122601"
2011-01-08,"504882,493274091"
2011-01-09,"514022,348262311"
2011-01-10,"502017,391801251"
2011-01-11,"492108,04783228"
2011-01-12,"463969,03783142"
2011-01-13,"450550,87946032"
2011-01-14,"443042,68988115"
2011-01-15,"453115,03514028"
2011-01-16,"455700,41412906"
2011-01-17,"455914,412482231"
2011-01-18,"442172,6305476"
2011-01-19,"432472,11009244"
2011-01-20,"434573,93759459"
2011-01-21,"447577,47899227"
2011-01-22,"448871,13430019"
2011-01-23,"444594,39140014"
2011-01-24,"451836,09233915"
2011-01-25,"505307,34194786"
2011-01-26,"500101,51873611"
2011-01-27,"428519,64469038"
2011-01-28,"407622,2455011"
2011-01-29,"411287,10243426"
2011-01-30,"451480,58428889"
2011-01-31,"466218,99704526"
2011-02-01,"458794,47108552"
2011-02-02,"445151,49004204"
2011-02-03,"859988,13092148"
2011-02-04,"854137,43825321"
2011-02-05,"853465,7350928"
2011-02-06,"844338,28068539"
2011-02-07,"859840,29303106"
2011-02-08,"911016,69663266"
2011-02-09,"925452,27648578"
2011-02-10,"926623,10456386"
2011-02-11,"937736,43030681"
2011-02-12,"941563,13037625"
2011-02-13,"940195,51878251"
2011-02-14,"981411,02876433"
2011-02-15,"972721,25757911"
2011-02-16,"997277,5302739"
2011-02-17,"998515,81942983"
2011-02-18,"1015289,25885416"
2011-02-19,"1025633,17622008"
2011-02-20,"1000761,29152245"
2011-02-21,"1036371,57626746"
2011-02-22,"1028851,69441283"
2011-02-23,"1029364,68490535"
2011-02-24,"1015984,72886142"
2011-02-25,"1012451,02206525"
2011-02-26,"602284,02530135"
2011-02-27,"599949,46530135"
2011-02-28,"589329,04530135"
2011-03-01,"480601,66317703"
2011-03-02,"464525,16268289"
2011-03-03,"472746,53171137"
2011-03-04,"449178,3939127"
2011-03-05,"448029,72128762"
2011-03-06,"470712,91747892"
2011-03-07,"488972,48763032"
2011-03-08,"676823,03278409"
2011-03-09,"831743,23588439"
2011-03-10,"835798,10447853"
2011-03-11,"818581,14921573"
2011-03-12,"814296,20862965"
2011-03-13,"828079,21539937"
2011-03-14,"789950,29148939"
2011-03-15,"790917,27320963"
2011-03-16,"780373,16183238"
2011-03-17,"763543,34056982"
2011-03-18,"756556,76683962"
2011-03-19,"773692,69437772"
2011-03-20,"810309,932172609"
2011-03-21,"897569,79399443"
2011-03-22,"886418,77978598"
2011-03-23,"892733,52300022"
2011-03-24,"903459,96788582"
2011-03-25,"906320,608348419"
2011-03-26,"876141,27793941"
2011-03-27,"869659,01901177"
2011-03-28,"863652,63660472"
2011-03-29,"841632,33913141"
2011-03-30,"829427,941263671"
2011-03-31,"654912,062717611"
2011-04-01,"501778,491822921"
2011-04-02,"516835,545662011"
2011-04-03,"515354,349478091"
2011-04-04,"524068,030974131"
2011-04-05,"509007,361302941"
2011-04-06,"502331,443453021"
2011-04-07,"508498,669259111"
2011-04-08,"503435,964336151"
2011-04-09,"526271,977236161"
2011-04-10,"524985,275023571"
2011-04-11,"532506,1746314"
2011-04-12,"493263,848400981"
2011-04-13,"394919,5238124"
2011-04-14,"360902,90105704"
2011-04-15,"347726,5824876"
2011-04-16,"335738,806101841"
2011-04-17,"314846,602828431"
2011-04-18,"322916,23410729"
2011-04-19,"307828,98895509"
2011-04-20,"301188,78941118"
2011-04-21,"288848,76558636"
2011-04-22,"282099,30704363"
2011-04-23,"280068,56024005"
2011-04-24,"322372,7479404"
2011-04-25,"330947,81949329"
2011-04-26,"340011,32367898"
2011-04-27,"402119,71586144"
2011-04-28,"432951,815891171"
2011-04-29,"491350,99047111"
2011-04-30,"445216,1489469"
2011-05-01,"452753,95532007"
2011-05-02,"443056,49835395"
2011-05-03,"455253,49651803"
2011-05-04,"453182,63861597"
2011-05-05,"463778,25697444"
2011-05-06,"660058,87866684"
2011-05-07,"890556,91953205"
2011-05-08,"709213,24440657"
2011-05-09,"720443,54749185"
2011-05-10,"737548,40461223"
2011-05-11,"830431,56471328"
2011-05-12,"830362,62981273"
2011-05-13,"843390,1900315"
2011-05-14,"839167,27516766"
2011-05-15,"804055,34598911"
2011-05-16,"813860,52758408"
2011-05-17,"847944,17193852"
2011-05-18,"850937,39844067"
2011-05-19,"853676,93931454"
2011-05-20,"861374,6843347"
2011-05-21,"850539,32182179"
2011-05-22,"892936,91305775"
2011-05-23,"954378,85379731"
2011-05-24,"1013199,88762207"
2011-05-25,"1023094,48534474"
2011-05-26,"1024206,06116595"
2011-05-27,"1026063,19219001"
2011-05-28,"1042068,62017896"
2011-05-29,"867682,00876825"
2011-05-30,"875710,03335709"
2011-05-31,"877476,25659164"
2011-06-01,"876349,24156414"
2011-06-02,"875396,09331271"
2011-06-03,"1062967,85683771"
2011-06-04,"1041310,84850406"
2011-06-05,"1005874,07795161"
2011-06-06,"992510,67241207"
2011-06-07,"996193,40136025"
2011-06-08,"965797,37163715"
2011-06-09,"916984,32226089"
2011-06-10,"983290,62125344"
2011-06-11,"1004012,48894379"
2011-06-12,"683302,1842877"
2011-06-13,"689611,54745665"
2011-06-14,"654791,18635419"
2011-06-15,"685180,26644661"
2011-06-16,"664588,95513306"
2011-06-17,"800789,45746192"
2011-06-18,"819047,26968609"
2011-06-19,"713957,95398113"
2011-06-20,"711067,12077822"
2011-06-21,"925450,50733969"
2011-06-22,"970090,767595139"
2011-06-23,"1056659,90911911"
2011-06-24,"1073906,71112797"
2011-06-25,"1087949,97715704"
2011-06-26,"1320560,82826809"
2011-06-27,"1315890,55315529"
2011-06-28,"1353493,83943505"
2011-06-29,"1395897,58372034"
2011-06-30,"1855054,92544793"
2011-07-01,"1865883,29948939"
2011-07-02,"1824843,68455409"
