Date,transactions/size_sum
2011-03-20,"1371453,0"
2011-03-21,"1558223,0"
2011-03-22,"691753,0"
2011-03-23,"1411486,0"
2011-03-24,"754741,0"
2011-03-25,"710082,0"
2011-03-26,"1094870,0"
2011-03-27,"921589,0"
2011-03-28,"1035495,0"
2011-03-29,"887259,0"
2011-03-30,"609668,0"
2011-03-31,"748077,0"
2011-04-01,"580301,0"
2011-04-02,"599324,0"
2011-04-03,"581263,0"
2011-04-04,"786703,0"
2011-04-05,"719231,0"
2011-04-06,"635156,0"
2011-04-07,"571323,0"
2011-04-08,"652393,0"
2011-04-09,"593541,0"
2011-04-10,"631791,0"
2011-04-11,"740398,0"
2011-04-12,"880662,0"
2011-04-13,"896503,0"
2011-04-14,"975182,0"
2011-04-15,"936635,0"
2011-04-16,"1029138,0"
2011-04-17,"791149,0"
2011-04-18,"1066105,0"
2011-04-19,"1235638,0"
2011-04-20,"1279670,0"
2011-04-21,"653970,0"
2011-04-22,"740589,0"
2011-04-23,"907959,0"
2011-04-24,"904886,0"
2011-04-25,"1110756,0"
2011-04-26,"1229018,0"
2011-04-27,"1910372,0"
2011-04-28,"1199307,0"
2011-04-29,"1304092,0"
2011-04-30,"1771220,0"
2011-05-01,"1642089,0"
2011-05-02,"1097565,0"
2011-05-03,"1155169,0"
2011-05-04,"1132948,0"
2011-05-05,"1408874,0"
2011-05-06,"1291468,0"
2011-05-07,"1319606,0"
2011-05-08,"1121321,0"
2011-05-09,"1416134,0"
2011-05-10,"1414752,0"
2011-05-11,"1315135,0"
2011-05-12,"1381880,0"
2011-05-13,"1898582,0"
2011-05-14,"1802426,0"
2011-05-15,"1652879,0"
2011-05-16,"1922642,0"
2011-05-17,"1847021,0"
2011-05-18,"2291401,0"
2011-05-19,"1935847,0"
2011-05-20,"2030324,0"
2011-05-21,"1931540,0"
2011-05-22,"1995878,0"
2011-05-23,"2277402,0"
2011-05-24,"2225358,0"
2011-05-25,"2556446,0"
2011-05-26,"2781551,0"
2011-05-27,"1849032,0"
2011-05-28,"1940440,0"
2011-05-29,"1886313,0"
2011-05-30,"2165827,0"
2011-05-31,"2537552,0"
2011-06-01,"2690333,0"
2011-06-02,"3015871,0"
2011-06-03,"4002167,0"
2011-06-04,"3701310,0"
2011-06-05,"3226607,0"
2011-06-06,"4204089,0"
2011-06-07,"3544326,0"
2011-06-08,"5626525,0"
2011-06-09,"5173386,0"
2011-06-10,"4658971,0"
2011-06-11,"4342375,0"
2011-06-12,"5232035,0"
2011-06-13,"4871991,0"
2011-06-14,"5509271,0"
2011-06-15,"5344244,0"
2011-06-16,"5382785,0"
2011-06-17,"4866881,0"
2011-06-18,"4734457,0"
2011-06-19,"4870941,0"
2011-06-20,"4265880,0"
2011-06-21,"3939273,0"
2011-06-22,"4290563,0"
2011-06-23,"3978528,0"
2011-06-24,"4256780,0"
2011-06-25,"3968004,0"
2011-06-26,"4263490,0"
