Date,transactions/transfers_volume_from_exchanges_sum
2017-07-28,"570214,639247435"
2017-07-29,"313111,266344522"
2017-07-30,"248373,10919016"
2017-07-31,"363132,658989302"
2017-08-01,"473675,323741187"
2017-08-02,"301814,137153365"
2017-08-03,"409018,653577764"
2017-08-04,"296182,95778424"
2017-08-05,"381735,692016974"
2017-08-06,"366268,348402976"
2017-08-07,"338325,272789604"
2017-08-08,"365131,902251407"
2017-08-09,"397205,223282958"
2017-08-10,"323935,597056189"
2017-08-11,"369931,851844744"
2017-08-12,"300131,915487475"
2017-08-13,"420409,694292419"
2017-08-14,"415700,508730615"
2017-08-15,"483086,630678575"
2017-08-16,"678504,293882437"
2017-08-17,"415768,198618614"
2017-08-18,"475948,880565074"
2017-08-19,"300625,740574565"
2017-08-20,"245512,028360694"
2017-08-21,"437239,500515197"
2017-08-22,"314664,676383746"
2017-08-23,"327998,545564158"
2017-08-24,"338844,598417329"
2017-08-25,"329282,160070074"
2017-08-26,"229879,845148511"
2017-08-27,"264775,113035996"
2017-08-28,"365799,410594221"
2017-08-29,"365589,712752042"
2017-08-30,"425597,884000187"
2017-08-31,"375874,052137263"
2017-09-01,"333646,723354921"
2017-09-02,"360025,423602161"
2017-09-03,"374762,09264945"
2017-09-04,"583953,033425822"
2017-09-05,"556943,096733246"
2017-09-06,"513492,321943052"
2017-09-07,"327370,605478619"
2017-09-08,"518658,192229157"
2017-09-09,"803506,971919198"
2017-09-10,"333100,721676719"
2017-09-11,"309216,077660554"
2017-09-12,"388673,340764202"
2017-09-13,"360104,618736589"
2017-09-14,"545928,1550319"
2017-09-15,"934501,204300255"
2017-09-16,"484588,320847937"
2017-09-17,"295419,812313348"
2017-09-18,"417049,95196054"
2017-09-19,"298063,772671659"
2017-09-20,"244153,889881236"
2017-09-21,"325761,781553882"
2017-09-22,"209986,404152019"
2017-09-23,"193254,724557393"
2017-09-24,"220563,165548688"
2017-09-25,"302239,745072416"
2017-09-26,"219859,467419455"
2017-09-27,"277249,280504265"
2017-09-28,"232989,62774178"
2017-09-29,"213309,664083253"
2017-09-30,"195930,889203953"
2017-10-01,"185315,702515047"
2017-10-02,"304764,901242319"
2017-10-03,"260185,976158248"
2017-10-04,"258345,380548012"
2017-10-05,"167772,839811925"
2017-10-06,"169763,417541878"
2017-10-07,"140865,200280681"
2017-10-08,"165419,855948245"
2017-10-09,"379183,385908604"
2017-10-10,"206765,643027909"
2017-10-11,"226348,091799184"
2017-10-12,"357668,366435493"
2017-10-13,"440391,36696067"
2017-10-14,"357393,655223416"
2017-10-15,"249378,447475366"
2017-10-16,"229419,717159352"
2017-10-17,"369560,945248644"
2017-10-18,"322633,316546184"
2017-10-19,"227199,85991977"
2017-10-20,"264295,486222435"
2017-10-21,"206421,523435234"
2017-10-22,"180450,503712973"
2017-10-23,"336264,309731178"
2017-10-24,"279258,676298997"
2017-10-25,"201462,700536194"
2017-10-26,"236356,320616921"
2017-10-27,"161522,611049196"
2017-10-28,"142501,757118201"
2017-10-29,"201366,627811613"
2017-10-30,"224717,25569543"
2017-10-31,"205551,094847464"
2017-11-01,"291588,008966125"
2017-11-02,"502089,597831007"
2017-11-03,"320953,601164663"
2017-11-04,"201908,713881437"
2017-11-05,"202903,754372926"
2017-11-06,"331530,025105555"
2017-11-07,"343107,333139341"
2017-11-08,"521955,028795761"
2017-11-09,"393381,020698574"
2017-11-10,"461369,727053467"
2017-11-11,"378103,503066325"
2017-11-12,"710689,418700662"
2017-11-13,"440094,665808415"
2017-11-14,"429134,94817088"
2017-11-15,"411547,454006459"
2017-11-16,"387679,914021645"
2017-11-17,"322235,918022074"
2017-11-18,"255236,05760702"
2017-11-19,"354174,824758458"
2017-11-20,"638005,984348537"
2017-11-21,"472605,188000571"
2017-11-22,"365051,534088093"
2017-11-23,"560779,948947531"
2017-11-24,"499384,142090924"
2017-11-25,"411385,961491617"
2017-11-26,"333760,385270007"
2017-11-27,"424301,439178239"
2017-11-28,"514964,49750796"
2017-11-29,"635253,789040892"
2017-11-30,"460003,505787609"
2017-12-01,"409820,107358853"
2017-12-02,"277706,165348169"
2017-12-03,"291998,701359961"
2017-12-04,"329498,667347722"
2017-12-05,"319833,227403753"
2017-12-06,"963269,188674072"
2017-12-07,"906123,381918746"
2017-12-08,"690205,860338672"
2017-12-09,"412060,059749773"
2017-12-10,"406919,289234035"
2017-12-11,"514595,819935137"
2017-12-12,"625534,381398095"
2017-12-13,"720702,351324782"
2017-12-14,"827257,727034168"
2017-12-15,"666735,947619525"
2017-12-16,"402017,508833026"
