Date,transactions/contract_calls_internal_count
2018-06-14,336064.0
2018-06-15,299862.0
2018-06-16,408400.0
2018-06-17,398495.0
2018-06-18,414335.0
2018-06-19,402103.0
2018-06-20,444242.0
2018-06-21,509419.0
2018-06-22,482028.0
2018-06-23,458804.0
2018-06-24,476706.0
2018-06-25,435703.0
2018-06-26,482615.0
2018-06-27,518559.0
2018-06-28,541825.0
2018-06-29,572767.0
2018-06-30,595056.0
2018-07-01,583253.0
2018-07-02,820547.0
2018-07-03,664354.0
2018-07-04,885281.0
2018-07-05,833845.0
2018-07-06,886620.0
2018-07-07,872161.0
2018-07-08,550175.0
2018-07-09,955578.0
2018-07-10,628807.0
2018-07-11,762461.0
2018-07-12,889737.0
2018-07-13,995735.0
2018-07-14,969786.0
2018-07-15,1102292.0
2018-07-16,581373.0
2018-07-17,575507.0
2018-07-18,531235.0
2018-07-19,494896.0
2018-07-20,585577.0
2018-07-21,619197.0
2018-07-22,522033.0
2018-07-23,439642.0
2018-07-24,465381.0
2018-07-25,531973.0
2018-07-26,501895.0
2018-07-27,490032.0
2018-07-28,392241.0
2018-07-29,459178.0
2018-07-30,539024.0
2018-07-31,559256.0
2018-08-01,498374.0
2018-08-02,491203.0
2018-08-03,606287.0
2018-08-04,508666.0
2018-08-05,548188.0
2018-08-06,573025.0
2018-08-07,473513.0
2018-08-08,370042.0
2018-08-09,370834.0
2018-08-10,467529.0
2018-08-11,541623.0
2018-08-12,578108.0
2018-08-13,671545.0
2018-08-14,852150.0
2018-08-15,718090.0
2018-08-16,599845.0
2018-08-17,491887.0
2018-08-18,678219.0
2018-08-19,700962.0
2018-08-20,657853.0
2018-08-21,749613.0
2018-08-22,671153.0
2018-08-23,730987.0
2018-08-24,669249.0
2018-08-25,808920.0
2018-08-26,795328.0
2018-08-27,671457.0
2018-08-28,725408.0
2018-08-29,748886.0
2018-08-30,673271.0
2018-08-31,639721.0
2018-09-01,603060.0
2018-09-02,667206.0
2018-09-03,696429.0
2018-09-04,632429.0
2018-09-05,713920.0
2018-09-06,625946.0
2018-09-07,565828.0
2018-09-08,794567.0
2018-09-09,748933.0
2018-09-10,747342.0
2018-09-11,785915.0
2018-09-12,733294.0
2018-09-13,723364.0
2018-09-14,919542.0
2018-09-15,966664.0
2018-09-16,982409.0
2018-09-17,838037.0
2018-09-18,860642.0
2018-09-19,460263.0
2018-09-20,809847.0
2018-09-21,830853.0
2018-09-22,793223.0
2018-09-23,861105.0
2018-09-24,925549.0
2018-09-25,936995.0
2018-09-26,945479.0
2018-09-27,908059.0
2018-09-28,823300.0
2018-09-29,643367.0
2018-09-30,720726.0
2018-10-01,728477.0
2018-10-02,700642.0
2018-10-03,618343.0
2018-10-04,843611.0
2018-10-05,709829.0
2018-10-06,522823.0
2018-10-07,455736.0
2018-10-08,429843.0
2018-10-09,452765.0
2018-10-10,447800.0
