Date,distribution/balance_exchanges
2019-03-08,13782826.428674808
2019-03-09,13945880.523986917
2019-03-10,14090254.66955626
2019-03-11,14102343.118435474
2019-03-12,14224630.518276649
2019-03-13,14219218.79740991
2019-03-14,14197806.947748296
2019-03-15,14184055.937181754
2019-03-16,14161232.621119218
2019-03-17,14265304.218060121
2019-03-18,14149647.633485742
2019-03-19,14112695.32067461
2019-03-20,14107906.832918175
2019-03-21,14051266.804818803
2019-03-22,14117086.783634838
2019-03-23,14083478.596258275
2019-03-24,14137318.342256397
2019-03-25,14110050.507199705
2019-03-26,14099042.270976244
2019-03-27,14093122.576450896
2019-03-28,14106739.594329115
2019-03-29,14120423.339021847
2019-03-30,14144072.234236429
2019-03-31,14176576.037535554
2019-04-01,14147419.868980564
2019-04-02,14352157.800170256
2019-04-03,14476784.96800907
2019-04-04,14531275.95364312
2019-04-05,14543836.221783778
2019-04-06,14450601.30766497
2019-04-07,14564181.159868464
2019-04-08,14679089.056402944
2019-04-09,14656055.857598685
2019-04-10,14616962.41056252
2019-04-11,14535679.495070416
2019-04-12,14491303.751832962
2019-04-13,14435911.566671811
2019-04-14,14406808.220961604
2019-04-15,14408975.130419701
2019-04-16,14333607.100756465
2019-04-17,14319232.37393094
2019-04-18,14262778.62200045
2019-04-19,14254572.951943075
2019-04-20,14255390.584405422
2019-04-21,14319359.2719424
2019-04-22,14269631.037848487
2019-04-23,14238842.603492737
2019-04-24,14271978.073628785
2019-04-25,14219227.692332938
2019-04-26,13563448.397091947
2019-04-27,13505775.906624112
2019-04-28,13570700.25297138
2019-04-29,13507753.897948094
2019-04-30,13489676.70625204
2019-05-01,13330473.510248773
2019-05-02,13272032.163503487
2019-05-03,13206376.653446512
2019-05-04,13179990.432407625
2019-05-05,13170077.524705961
2019-05-06,13303545.452279532
2019-05-07,13385141.488556167
2019-05-08,13326374.03303728
2019-05-09,13331843.952684691
2019-05-10,13383255.08996286
2019-05-11,13708839.799511524
2019-05-12,13779651.73718947
2019-05-13,14052032.60735767
2019-05-14,13953548.18197873
2019-05-15,13871898.045800513
2019-05-16,14059952.244234439
2019-05-17,14363832.534167998
2019-05-18,14341290.086265286
2019-05-19,14409917.14269789
2019-05-20,14480495.826115606
2019-05-21,14458467.40608743
2019-05-22,14371029.135441732
2019-05-23,14250969.506289199
2019-05-24,14178238.740300493
2019-05-25,14141767.802219156
2019-05-26,14170759.546505885
2019-05-27,14208231.511965446
2019-05-28,14242797.371691333
2019-05-29,14617734.596101973
2019-05-30,14565481.840029843
2019-05-31,14375889.866464235
2019-06-01,14318504.194006106
2019-06-02,14264839.656263798
2019-06-03,14230438.317525132
2019-06-04,14141038.29119864
2019-06-05,14135752.057157157
2019-06-06,14170672.401447399
2019-06-07,14126566.643634556
2019-06-08,14044517.057597702
2019-06-09,13925407.054097692
2019-06-10,14009923.77566998
2019-06-11,13964215.680450719
2019-06-12,13963288.238108087
2019-06-13,14098336.441159114
2019-06-14,14014604.59941769
2019-06-15,13976320.954159368
2019-06-16,13981389.806532562
2019-06-17,13905850.984779704
2019-06-18,13811908.780994937
2019-06-19,13798992.684097761
2019-06-20,13763969.708283383
2019-06-21,13849418.938911043
2019-06-22,14109929.645871269
2019-06-23,14202836.848952759
2019-06-24,14213583.915665425
2019-06-25,14196946.102959786
2019-06-26,14263349.953367312
2019-06-27,14155128.806280632
2019-06-28,14013205.904165944
2019-06-29,14347132.467883397
2019-06-30,14346777.062007453
2019-07-01,14357322.86523255
2019-07-02,14381426.110955149
2019-07-03,14399037.126627896
2019-07-04,14375149.077406265
2019-07-05,14312377.402183663
2019-07-06,14296661.629855882
2019-07-07,14353612.348062072
2019-07-08,14378700.144240847
2019-07-09,14416934.65045112
2019-07-10,14361397.222010303
2019-07-11,14425558.931659294
2019-07-12,14261272.906872926
2019-07-13,14252330.782271735
2019-07-14,14207021.146772265
2019-07-15,14178722.109865775
2019-07-16,14043606.60451982
2019-07-17,14065428.79244972
2019-07-18,14086881.855885513
2019-07-19,14017139.2388191
2019-07-20,13958743.66808084
2019-07-21,13969945.43153837
2019-07-22,13964434.816780638
2019-07-23,13961371.624095585
2019-07-24,13927064.96527884
2019-07-25,13937599.205962326
2019-07-26,14409545.517328752
2019-07-27,14392121.979636192
2019-07-28,14377509.251873603
2019-07-29,14320884.330982603
2019-07-30,14367807.291991876
2019-07-31,14355767.425259398
2019-08-01,14889221.7739805
2019-08-02,14823589.890539218
2019-08-03,14717890.853108168
2019-08-04,14619673.422159646
2019-08-05,15016469.070070442
2019-08-06,15096842.640839197
2019-08-07,15126685.203377403
2019-08-08,15296087.271678288
2019-08-09,15293920.763831045
2019-08-10,15313646.19057804
2019-08-11,15280730.418720236
2019-08-12,15287136.75595165
2019-08-13,15267715.695723701
2019-08-14,15276129.539586658
2019-08-15,15198219.792817695
2019-08-16,15248792.129654305
2019-08-17,15239547.247436576
2019-08-18,15222257.188939827
2019-08-19,15251936.143880807
2019-08-20,15236588.61530928
2019-08-21,15232738.180088276
2019-08-22,15251297.524848398
2019-08-23,15277843.239793079
2019-08-24,15303338.7011965
2019-08-25,15292243.118488839
