Date,supply/active_1w_1m
2017-01-10,3512764.37145639
2017-01-11,3808693.54256275
2017-01-12,4038340.6702232
2017-01-13,4227805.40304031
2017-01-14,4564376.14066444
2017-01-15,4539000.04873275
2017-01-16,4360382.305449
2017-01-17,4272233.11574955
2017-01-18,4922541.6596365
2017-01-19,4597842.92311561
2017-01-20,4400459.02838237
2017-01-21,4351074.90986908
2017-01-22,4540799.62463302
2017-01-23,4592364.28905606
2017-01-24,4810944.13406526
2017-01-25,4827929.7346452
2017-01-26,4800889.97324686
2017-01-27,5479086.60968511
2017-01-28,5293354.92688058
2017-01-29,5809658.60180677
2017-01-30,5776604.63939902
2017-01-31,5696545.59746995
2017-02-01,5621545.40713672
2017-02-02,5843398.28942011
2017-02-03,5585010.18069777
2017-02-04,5598687.09625489
2017-02-05,5407397.55333609
2017-02-06,5308600.68590177
2017-02-07,5155843.71628932
2017-02-08,5125926.72559239
2017-02-09,4872084.84998498
2017-02-10,4657849.55932002
2017-02-11,4688179.6831499
2017-02-12,4629657.10050236
2017-02-13,4562532.00303345
2017-02-14,4483097.63062907
2017-02-15,4420493.92276303
2017-02-16,4295462.5208787
2017-02-17,4302618.38667377
2017-02-18,4485390.29085327
2017-02-19,4551295.63144904
2017-02-20,4678501.17838035
2017-02-21,4853305.19558847
2017-02-22,4149995.7286146
2017-02-23,4269485.81489829
2017-02-24,4004329.12278675
2017-02-25,4033890.59379546
2017-02-26,4068104.79297655
2017-02-27,4068059.69778885
2017-02-28,4188284.38914355
2017-03-01,3894491.66043197
2017-03-02,3739874.31724652
2017-03-03,3895544.8706897
2017-03-04,4706273.71578625
2017-03-05,4914483.01604485
2017-03-06,4956583.66184492
2017-03-07,5428336.49836258
2017-03-08,5592836.49953646
2017-03-09,5919570.94528964
2017-03-10,5749461.05464503
2017-03-11,5729174.54115799
2017-03-12,5657924.45561689
2017-03-13,5521799.41403163
2017-03-14,5906091.36796204
2017-03-15,5834577.46587538
2017-03-16,5803889.20074854
2017-03-17,5440874.50286992
2017-03-18,5939874.36053052
2017-03-19,6105596.50068956
2017-03-20,6336834.36650884
2017-03-21,6815440.87884951
2017-03-22,7132358.39077262
2017-03-23,7345717.67187872
2017-03-24,7646390.45933182
2017-03-25,8016682.94501725
2017-03-26,8118112.95126647
2017-03-27,7982550.37997985
2017-03-28,8421075.50807015
2017-03-29,8553038.30163641
2017-03-30,9100891.52672146
2017-03-31,9144201.20269347
2017-04-01,9229175.00955502
2017-04-02,9781832.5360023
2017-04-03,9598400.36190856
2017-04-04,9507415.24411133
2017-04-05,9608461.70524025
2017-04-06,9239291.1683796
2017-04-07,9720918.75906821
2017-04-08,9661461.20783767
2017-04-09,9650037.23647519
2017-04-10,11043256.7451123
2017-04-11,11699233.8385063
2017-04-12,12307081.9504284
2017-04-13,12666780.6887928
2017-04-14,12667052.4652794
2017-04-15,12094277.2316824
2017-04-16,11777127.4784042
2017-04-17,11513429.4804029
2017-04-18,11472448.8503356
2017-04-19,11287277.5995714
2017-04-20,11229909.9573592
2017-04-21,10728688.3584216
2017-04-22,10757180.8980709
2017-04-23,10359076.2388681
2017-04-24,10544668.5635812
