Date,supply/active_24h
2017-11-19,500111.241884213
2017-11-20,551446.056376939
2017-11-21,1177633.04840336
2017-11-22,947548.619062482
2017-11-23,516327.073078133
2017-11-24,608739.469965005
2017-11-25,577323.601905095
2017-11-26,469694.459630379
2017-11-27,737379.172753571
2017-11-28,681588.288463166
2017-11-29,985179.558631668
2017-11-30,635682.827534596
2017-12-01,618817.364594492
2017-12-02,453777.784785105
2017-12-03,495644.159871545
2017-12-04,476731.573363988
2017-12-05,810712.445873841
2017-12-06,756698.672385295
2017-12-07,795934.572650183
2017-12-08,756745.230711471
2017-12-09,706747.961046564
2017-12-10,952309.908563804
2017-12-11,667437.866344378
2017-12-12,1440638.23937745
2017-12-13,1122381.00009618
2017-12-14,1227558.78267949
2017-12-15,763790.972241816
2017-12-16,702375.016701524
2017-12-17,729774.070943984
2017-12-18,669836.713055131
2017-12-19,1004259.73380903
2017-12-20,986321.91218899
2017-12-21,1020185.44739794
2017-12-22,1183772.11727656
2017-12-23,767828.896957448
2017-12-24,530230.85245898
2017-12-25,574844.579126771
2017-12-26,753412.061945428
2017-12-27,740743.045006434
2017-12-28,907357.233516607
2017-12-29,960351.84227799
2017-12-30,1022047.64512987
2017-12-31,1108534.39434598
2018-01-01,643195.884258319
2018-01-02,1193386.90929913
2018-01-03,1109153.32449868
2018-01-04,1575765.01435673
2018-01-05,1454670.70650413
2018-01-06,1062887.21934617
2018-01-07,1366819.88914596
2018-01-08,1596667.27900836
2018-01-09,1781724.4180037
2018-01-10,1411727.11294296
2018-01-11,1438783.98712631
2018-01-12,1404851.08837129
2018-01-13,1031035.21498448
2018-01-14,1044241.58767289
2018-01-15,1409597.92511133
2018-01-16,1178341.73982908
2018-01-17,1473348.32908208
2018-01-18,1144180.67635256
2018-01-19,1050885.80909013
2018-01-20,817882.925666491
2018-01-21,991023.443580291
2018-01-22,834096.978856033
2018-01-23,1032656.89393943
2018-01-24,848485.36787183
2018-01-25,820721.445441848
2018-01-26,932912.094327091
2018-01-27,603168.586131538
2018-01-28,881703.869919281
2018-01-29,906134.326199901
2018-01-30,800680.811245652
2018-01-31,964652.862635426
2018-02-01,923359.92404311
2018-02-02,880301.503909284
2018-02-03,664872.299939602
