Date,addresses/non_zero_count
2018-01-03,7699335.0
2018-01-04,7844286.0
2018-01-05,7990805.0
2018-01-06,8119043.0
2018-01-07,8218761.0
2018-01-08,8333044.0
2018-01-09,8430607.0
2018-01-10,8549944.0
2018-01-11,8661333.0
2018-01-12,8756884.0
2018-01-13,8835197.0
2018-01-14,8865345.0
2018-01-15,8971991.0
2018-01-16,9059933.0
2018-01-17,9135373.0
2018-01-18,9223923.0
2018-01-19,9299804.0
2018-01-20,9359661.0
2018-01-21,9415761.0
2018-01-22,9469359.0
2018-01-23,9530448.0
2018-01-24,9603642.0
2018-01-25,9654754.0
2018-01-26,9715284.0
2018-01-27,9765632.0
2018-01-28,9829511.0
2018-01-29,9887101.0
2018-01-30,9941978.0
2018-01-31,10003585.0
2018-02-01,10066360.0
2018-02-02,10122464.0
2018-02-03,10162767.0
2018-02-04,10196583.0
2018-02-05,10229379.0
2018-02-06,10261476.0
2018-02-07,10284929.0
2018-02-08,10314290.0
2018-02-09,10360804.0
2018-02-10,10424753.0
2018-02-11,10478982.0
2018-02-12,10551095.0
2018-02-13,10591870.0
2018-02-14,10613259.0
2018-02-15,10641674.0
2018-02-16,10671703.0
2018-02-17,10707072.0
2018-02-18,10742337.0
2018-02-19,10788481.0
2018-02-20,10850185.0
2018-02-21,10896316.0
2018-02-22,10937307.0
2018-02-23,10977340.0
2018-02-24,11010820.0
2018-02-25,11042349.0
2018-02-26,11080035.0
2018-02-27,11136444.0
2018-02-28,11180363.0
2018-03-01,11223317.0
2018-03-02,11265303.0
2018-03-03,11308587.0
2018-03-04,11340987.0
2018-03-05,11376913.0
2018-03-06,11417710.0
2018-03-07,11459640.0
2018-03-08,11494877.0
2018-03-09,11532286.0
2018-03-10,11576821.0
2018-03-11,11607782.0
2018-03-12,11646904.0
2018-03-13,11696841.0
2018-03-14,11740396.0
2018-03-15,11783902.0
2018-03-16,11830180.0
2018-03-17,11864257.0
2018-03-18,11914437.0
2018-03-19,11953688.0
2018-03-20,11989309.0
2018-03-21,12028895.0
2018-03-22,12063750.0
2018-03-23,12071399.0
2018-03-24,12040514.0
2018-03-25,12063844.0
2018-03-26,12097649.0
2018-03-27,12123969.0
2018-03-28,12146610.0
2018-03-29,12173327.0
2018-03-30,12201793.0
2018-03-31,12223996.0
2018-04-01,12245914.0
2018-04-02,12272025.0
2018-04-03,12304372.0
2018-04-04,12341615.0
2018-04-05,12397822.0
2018-04-06,12440429.0
2018-04-07,12480283.0
2018-04-08,12537067.0
2018-04-09,12579358.0
2018-04-10,12613853.0
2018-04-11,12645962.0
2018-04-12,12687749.0
2018-04-13,12733756.0
2018-04-14,12769540.0
2018-04-15,12814392.0
2018-04-16,12846063.0
2018-04-17,12902230.0
2018-04-18,12951068.0
2018-04-19,13014291.0
2018-04-20,13076041.0
2018-04-21,13156085.0
2018-04-22,13221519.0
2018-04-23,13271141.0
2018-04-24,13332272.0
2018-04-25,13380725.0
2018-04-26,13428166.0
2018-04-27,13473396.0
2018-04-28,13515634.0
2018-04-29,13554227.0
2018-04-30,13595195.0
2018-05-01,13639620.0
2018-05-02,13682044.0
2018-05-03,13734412.0
2018-05-04,13778220.0
2018-05-05,13829672.0
2018-05-06,13900135.0
2018-05-07,13959389.0
2018-05-08,14023235.0
2018-05-09,14098095.0
2018-05-10,14159809.0
2018-05-11,14217051.0
2018-05-12,14281355.0
2018-05-13,14345116.0
2018-05-14,14396657.0
2018-05-15,14452159.0
2018-05-16,14518636.0
2018-05-17,14594931.0
2018-05-18,14675742.0
2018-05-19,14763493.0
2018-05-20,14824208.0
2018-05-21,14888406.0
2018-05-22,14934367.0
2018-05-23,14999735.0
2018-05-24,15053929.0
2018-05-25,15113033.0
2018-05-26,15162597.0
2018-05-27,15232257.0
2018-05-28,15298500.0
2018-05-29,15362744.0
2018-05-30,15435741.0
2018-05-31,15490730.0
2018-06-01,15542882.0
2018-06-02,15594060.0
2018-06-03,15663835.0
2018-06-04,15723068.0
2018-06-05,15787695.0
2018-06-06,15855064.0
2018-06-07,15921098.0
2018-06-08,15968422.0
2018-06-09,16005388.0
2018-06-10,16022508.0
2018-06-11,16040975.0
2018-06-12,16086676.0
2018-06-13,16154214.0
2018-06-14,16209136.0
2018-06-15,16242040.0
2018-06-16,16282924.0
2018-06-17,16327686.0
2018-06-18,16383361.0
2018-06-19,16417853.0
2018-06-20,16463569.0
2018-06-21,16515306.0
2018-06-22,16545444.0
2018-06-23,16598981.0
2018-06-24,16644126.0
2018-06-25,16638008.0
2018-06-26,16608514.0
2018-06-27,16670644.0
2018-06-28,16712833.0
2018-06-29,16739469.0
2018-06-30,16778243.0
2018-07-01,16792895.0
2018-07-02,16811212.0
2018-07-03,16828330.0
2018-07-04,16844236.0
2018-07-05,16864823.0
2018-07-06,16888365.0
2018-07-07,16906996.0
2018-07-08,16933155.0
2018-07-09,16965593.0
2018-07-10,16997684.0
2018-07-11,17024010.0
2018-07-12,17055005.0
2018-07-13,17080584.0
2018-07-14,17096922.0
2018-07-15,17111611.0
2018-07-16,17153512.0
2018-07-17,17206630.0
2018-07-18,17259323.0
2018-07-19,17308178.0
2018-07-20,17362097.0
2018-07-21,17416999.0
2018-07-22,17472072.0
2018-07-23,17514892.0
2018-07-24,17539335.0
2018-07-25,17575234.0
2018-07-26,17619114.0
2018-07-27,17682890.0
2018-07-28,17753459.0
2018-07-29,17826801.0
2018-07-30,17881522.0
2018-07-31,17941064.0
2018-08-01,17987862.0
2018-08-02,18016731.0
2018-08-03,18046415.0
2018-08-04,18100397.0
2018-08-05,18150858.0
2018-08-06,18199798.0
2018-08-07,18241729.0
2018-08-08,18277140.0
2018-08-09,18309434.0
2018-08-10,18349720.0
2018-08-11,18396983.0
2018-08-12,18441039.0
2018-08-13,18477399.0
2018-08-14,18513918.0
2018-08-15,18544941.0
2018-08-16,18570993.0
2018-08-17,18579463.0
2018-08-18,18600193.0
2018-08-19,18616101.0
2018-08-20,18641688.0
2018-08-21,18675537.0
2018-08-22,18704700.0
2018-08-23,18725858.0
2018-08-24,18729824.0
