Date,indicators/nvts
2017-09-08,7.058861593076519
2017-09-09,6.656395971579022
2017-09-10,6.547509369851544
2017-09-11,6.662422051124065
2017-09-12,6.7967665333888805
2017-09-13,6.254113950726844
2017-09-14,5.8016303674646945
2017-09-15,5.415347347193128
2017-09-16,5.907587067272329
2017-09-17,5.832365973712352
2017-09-18,6.613111643332709
2017-09-19,6.538599689256843
2017-09-20,6.513890855794397
2017-09-21,6.293758930166113
2017-09-22,6.003957617170196
2017-09-23,6.284493584271293
2017-09-24,6.5271969947909625
2017-09-25,6.668621794852771
2017-09-26,6.70029073034421
2017-09-27,6.829773498785161
2017-09-28,7.007471920721992
2017-09-29,6.727191597887432
2017-09-30,6.903118751468017
2017-10-01,7.0071441643579755
2017-10-02,7.069075956201928
2017-10-03,6.833668812544981
2017-10-04,6.7955289436773185
2017-10-05,6.777218032538819
2017-10-06,6.928519058155079
2017-10-07,7.099869784841327
2017-10-08,7.167528530099526
2017-10-09,6.931919091926998
2017-10-10,6.861489556065377
2017-10-11,6.936615578659296
2017-10-12,7.061923188496892
2017-10-13,7.549296519125452
2017-10-14,7.916415909252407
2017-10-15,7.723946305818353
2017-10-16,7.960733410828951
2017-10-17,7.634266497216145
2017-10-18,7.182844054723691
2017-10-19,7.308264624994036
2017-10-20,7.1924490409112485
2017-10-21,6.967980413625394
2017-10-22,6.97168929639498
2017-10-23,6.74437831859329
2017-10-24,7.16329851501145
2017-10-25,7.013360021176735
2017-10-26,7.075305718311089
2017-10-27,7.085472784877008
2017-10-28,7.03660884722632
2017-10-29,7.16255516587018
2017-10-30,7.25723890359374
2017-10-31,7.239653243016568
2017-11-01,7.01695163575505
2017-11-02,6.626824487008725
2017-11-03,6.841340195578213
2017-11-04,6.96251830814507
2017-11-05,6.901844662372942
2017-11-06,6.902514631702394
2017-11-07,6.878108475222033
2017-11-08,7.060174790600663
2017-11-09,7.635022329891009
2017-11-10,7.562081862894913
2017-11-11,7.56309228646007
2017-11-12,7.663875216228997
2017-11-13,7.839170344160578
2017-11-14,8.196258093419006
2017-11-15,8.337785613793638
2017-11-16,8.197816213623206
2017-11-17,8.223501298875048
2017-11-18,8.275775027123817
2017-11-19,8.769377682102709
2017-11-20,8.866661084202216
2017-11-21,8.9198381540526
2017-11-22,8.897450569015708
2017-11-23,9.596627396614885
2017-11-24,10.252133595855058
2017-11-25,11.126954847236414
2017-11-26,10.976159917947077
2017-11-27,11.308666953572631
2017-11-28,11.274646907917944
2017-11-29,11.097614702714772
2017-11-30,10.121302835863654
2017-12-01,10.128331167484669
2017-12-02,10.416086834226117
2017-12-03,10.41631138557108
2017-12-04,10.157430709142897
2017-12-05,10.183795130239536
2017-12-06,9.711712750002315
2017-12-07,9.233758550658425
2017-12-08,9.659959349032158
2017-12-09,10.661515461606529
2017-12-10,9.995963149113948
2017-12-11,10.463235482798632
2017-12-12,12.442137876716426
2017-12-13,14.746087309488262
2017-12-14,15.37018237557283
2017-12-15,14.30878343131599
2017-12-16,14.803481738258357
2017-12-17,15.263540465130058
2017-12-18,15.499123576383553
2017-12-19,17.10614415592099
2017-12-20,16.20227947127641
2017-12-21,16.173461493688258
2017-12-22,13.256247715287929
2017-12-23,14.164899258557126
2017-12-24,12.938595155437385
2017-12-25,14.010523806111639
2017-12-26,14.2537485787476
2017-12-27,14.1209307670591
2017-12-28,13.131538605932729
2017-12-29,13.446739784172307
2017-12-30,12.835710368030487
2017-12-31,12.71530280940581
2018-01-01,13.17207129138341
2018-01-02,14.750868908735592
2018-01-03,15.191677755449339
2018-01-04,15.792355612439954
2018-01-05,15.796650950431385
2018-01-06,15.677244339776152
2018-01-07,16.557445801472145
2018-01-08,17.311368202850737
2018-01-09,17.775018709056194
2018-01-10,18.6698813958444
2018-01-11,16.88375065457561
2018-01-12,16.69034474010305
2018-01-13,18.08094704883154
2018-01-14,17.19926621336227
2018-01-15,16.66732858049293
2018-01-16,13.98564817295325
2018-01-17,11.624240076479111
2018-01-18,12.511377483163141
2018-01-19,12.47604528169731
2018-01-20,13.243010070847363
2018-01-21,12.690211109942798
2018-01-22,11.910598736892062
2018-01-23,11.347346446675907
2018-01-24,11.624550659573964
2018-01-25,12.215089940129252
2018-01-26,11.88482071053918
2018-01-27,12.209269147980216
2018-01-28,13.238379502360399
2018-01-29,13.118003707923835
2018-01-30,12.513100220784294
2018-01-31,11.981465440345628
2018-02-01,11.925013768421222
2018-02-02,9.9316000044663
2018-02-03,10.202000840352499
2018-02-04,9.739016509699933
2018-02-05,8.29571285507035
2018-02-06,7.29030205766316
2018-02-07,8.592584883364882
2018-02-08,8.756023913055436
2018-02-09,8.966110059162018
2018-02-10,9.38578578906435
2018-02-11,8.89082323872038
2018-02-12,9.235768190922066
2018-02-13,9.123798685396098
2018-02-14,9.544275160026977
2018-02-15,10.06125859897053
2018-02-16,10.110513005484721
2018-02-17,10.47243497940822
2018-02-18,10.29353002516735
2018-02-19,10.287607869587948
2018-02-20,10.31804321310658
2018-02-21,9.611504229305233
2018-02-22,9.18776167562147
2018-02-23,9.414145665755079
2018-02-24,9.42983576501846
2018-02-25,9.454337165019037
2018-02-26,9.810926515809095
2018-02-27,10.180748169501609
2018-02-28,10.242469023379325
2018-03-01,10.29276132141609
2018-03-02,10.372181135169226
2018-03-03,10.474562022717796
2018-03-04,10.510251688016517
2018-03-05,10.661739662340588
2018-03-06,10.382563823924363
2018-03-07,9.783600083551757
2018-03-08,9.294878878240647
2018-03-09,8.655909542652525
2018-03-10,9.15495924973107
2018-03-11,8.920956901701233
2018-03-12,9.160673000063623
2018-03-13,8.965515976238914
2018-03-14,8.619676753350484
2018-03-15,7.923337834662543
2018-03-16,8.068570014905063
2018-03-17,7.812249831233479
2018-03-18,6.8380882180420715
2018-03-19,7.356222795786418
2018-03-20,7.541547678341665
2018-03-21,8.004287558322991
2018-03-22,7.731716800633186
2018-03-23,7.534273746478857
2018-03-24,7.7811649135570065
2018-03-25,7.61719718513893
2018-03-26,7.361678755881957
2018-03-27,6.908007695038307
2018-03-28,6.821030999245035
2018-03-29,6.378933717249703
2018-03-30,6.032485157349877
2018-03-31,6.354460924361885
2018-04-01,6.120307731503021
2018-04-02,6.294615690291356
2018-04-03,6.698995154777729
2018-04-04,6.768755261490421
2018-04-05,6.772508731582989
2018-04-06,6.855788035471392
2018-04-07,7.258479345970475
2018-04-08,7.733876440075507
2018-04-09,8.272191589425232
2018-04-10,8.679528210997644
2018-04-11,9.418062113307297
2018-04-12,9.774394705622681
2018-04-13,10.093075084559576
2018-04-14,11.08529425845998
2018-04-15,11.605453592035593
2018-04-16,14.994573997767862
2018-04-17,15.729068171184075
2018-04-18,16.591498081541985
2018-04-19,18.081114617272906
2018-04-20,20.02600754028606
2018-04-21,21.317130383779592
2018-04-22,22.65923844088121
2018-04-23,23.894345729231716
2018-04-24,26.557175269858103
2018-04-25,25.228568029573808
2018-04-26,25.690588097732874
2018-04-27,27.77951910932846
2018-04-28,29.239797341315363
2018-04-29,30.80367112187738
2018-04-30,32.097482447477226
2018-05-01,32.2490729098719
2018-05-02,34.56414793503523
2018-05-03,39.1827868446895
2018-05-04,42.81940685173057
2018-05-05,45.0985183377772
2018-05-06,45.46069831411679
2018-05-07,43.76713854999658
2018-05-08,45.29122612195987
2018-05-09,45.14534522314227
2018-05-10,46.823156695280915
2018-05-11,44.49387908636762
2018-05-12,43.46739180961378
2018-05-13,46.615231887881656
2018-05-14,49.04450202000338
2018-05-15,50.467685835043106
2018-05-16,50.004164171124515
2018-05-17,51.499850342239185
2018-05-18,51.24051222166908
2018-05-19,53.96177728132093
2018-05-20,56.31266904203829
2018-05-21,57.56802682385514
2018-05-22,56.719888336645916
2018-05-23,52.82816194935032
2018-05-24,51.10377635692943
2018-05-25,52.44446266816035
2018-05-26,52.922512743669195
2018-05-27,51.67269787658742
2018-05-28,48.38060235950546
2018-05-29,48.76419054239447
2018-05-30,50.62534743992461
2018-05-31,51.52265656443374
2018-06-01,51.58779801287896
2018-06-02,52.7285292924688
2018-06-03,55.08671844563645
2018-06-04,54.59991837848386
2018-06-05,54.17533635229234
2018-06-06,55.028294985708186
2018-06-07,55.31511155164847
2018-06-08,54.37131684469326
2018-06-09,54.63323985940269
2018-06-10,50.77234486981458
2018-06-11,48.13656791776535
2018-06-12,47.57812905315386
2018-06-13,43.61250171336308
2018-06-14,44.02084785267526
2018-06-15,44.40323566353221
2018-06-16,44.233026576944816
2018-06-17,44.98467111180623
2018-06-18,45.18640545595261
2018-06-19,47.36314350847149
2018-06-20,47.404644652217286
2018-06-21,47.82450360007322
2018-06-22,43.79454761276776
2018-06-23,42.040832229010086
2018-06-24,40.305202276588034
2018-06-25,40.87197076188427
2018-06-26,40.18715372677342
2018-06-27,38.99592761055909
2018-06-28,39.0911758642647
2018-06-29,37.38168169795541
2018-06-30,40.308360632327876
2018-07-01,40.57226528610937
2018-07-02,41.27805324795993
2018-07-03,42.29907100503343
2018-07-04,41.790280694347175
2018-07-05,42.20008401026936
2018-07-06,41.824348195017585
2018-07-07,41.846488371533674
2018-07-08,43.78859069196904
2018-07-09,42.8188497519781
2018-07-10,39.901594148782095
2018-07-11,38.98354261885041
2018-07-12,38.63230500942836
2018-07-13,38.79634408016063
2018-07-14,38.684198736172355
2018-07-15,39.61874838400596
2018-07-16,41.42000004271218
2018-07-17,42.98029596538922
2018-07-18,44.21121151284566
2018-07-19,42.544432212410086
2018-07-20,41.28127767593918
2018-07-21,41.489522021796745
2018-07-22,42.45817039790387
2018-07-23,42.66090930422357
2018-07-24,43.68599499643996
2018-07-25,44.46363552124708
2018-07-26,45.07774131557609
2018-07-27,44.33661416811455
2018-07-28,44.913770336353465
2018-07-29,45.23099419609897
2018-07-30,44.90532710909061
2018-07-31,43.4442028491093
2018-08-01,42.090047894765966
2018-08-02,42.21685038056987
2018-08-03,42.181592070771366
2018-08-04,42.57351306550484
2018-08-05,42.969149352097894
2018-08-06,43.652380804755445
2018-08-07,43.78018272842424
2018-08-08,40.2460237151413
2018-08-09,40.16643702338813
2018-08-10,39.38774429344517
2018-08-11,35.81641782775153
2018-08-12,36.63699059700771
2018-08-13,35.76755554974164
2018-08-14,30.47264339352616
2018-08-15,33.309427234629595
2018-08-16,33.70491778559319
2018-08-17,35.21368911341514
2018-08-18,35.8822189718212
2018-08-19,35.61695234843699
2018-08-20,35.501261526411554
2018-08-21,34.41288938739657
2018-08-22,35.407119389971676
2018-08-23,34.59919142083021
2018-08-24,35.03060869602154
2018-08-25,35.891026154698274
2018-08-26,35.76684561392333
2018-08-27,36.49415724884959
2018-08-28,38.384107914659815
2018-08-29,39.427838005259886
2018-08-30,38.74717498630725
2018-08-31,38.711312076176085
2018-09-01,40.144735853199435
2018-09-02,41.32384928940835
2018-09-03,41.1869240786769
2018-09-04,41.15764511607594
2018-09-05,38.415489810585484
2018-09-06,33.164361286742675
2018-09-07,32.82902589740059
2018-09-08,31.524744744528462
2018-09-09,29.64390565612346
2018-09-10,29.978710463385475
2018-09-11,29.826334180102123
2018-09-12,28.27979829549384
2018-09-13,32.32555279522326
2018-09-14,35.15691178534145
2018-09-15,36.19672963356653
2018-09-16,36.522333461885225
2018-09-17,36.083607760550805
2018-09-18,34.94788018396724
2018-09-19,36.43888123897486
2018-09-20,37.18749958496579
2018-09-21,40.477804450081756
2018-09-22,42.80999336238569
2018-09-23,43.71266591622031
2018-09-24,43.08385806401688
2018-09-25,39.49173281387881
2018-09-26,39.92401988244536
2018-09-27,41.038795099389326
2018-09-28,42.51196869409566
2018-09-29,42.7193688068626
2018-09-30,44.178807564184865
2018-10-01,44.29091048252427
2018-10-02,44.36513453548784
2018-10-03,43.15109957839468
2018-10-04,44.207945461930464
2018-10-05,44.241009432042475
2018-10-06,45.23413994971424
2018-10-07,45.54307951977455
2018-10-08,46.65417764468991
2018-10-09,47.14292283603975
2018-10-10,46.907958897999954
2018-10-11,41.914928304459664
2018-10-12,40.60004500487421
2018-10-13,41.46171763889001
2018-10-14,42.14144068960976
2018-10-15,43.78986243947982
2018-10-16,44.91736586391512
2018-10-17,45.074046358128115
2018-10-18,44.88299997070623
2018-10-19,44.53180777069829
2018-10-20,45.05067960852989
2018-10-21,45.83106030109091
2018-10-22,45.94752843443147
2018-10-23,46.1177036844637
2018-10-24,46.604673083253275
2018-10-25,46.46209553294449
2018-10-26,46.54880482908463
2018-10-27,46.93235977540821
2018-10-28,47.65355841121979
2018-10-29,47.91455776263454
2018-10-30,47.398181199652704
2018-10-31,47.84255653813501
2018-11-01,48.50765377792779
2018-11-02,48.68943279998954
2018-11-03,49.018996227530586
2018-11-04,49.907620495486654
2018-11-05,51.45196569218753
2018-11-06,52.926274064985925
2018-11-07,54.707568183563275
2018-11-08,54.02445602356386
2018-11-09,53.46871385907659
2018-11-10,53.81127636895899
2018-11-11,54.41552865787194
2018-11-12,55.09830333289828
2018-11-13,54.9107504500013
2018-11-14,51.57728360755473
2018-11-15,46.7202177855491
2018-11-16,46.64130149048255
2018-11-17,45.6498679296891
2018-11-18,46.24463141726182
2018-11-19,41.57031964253618
2018-11-20,35.872763448944326
2018-11-21,34.44269155775031
2018-11-22,34.39243948468485
2018-11-23,31.653064018546292
2018-11-24,31.439280663710957
2018-11-25,28.27624618144389
2018-11-26,28.963900015089457
2018-11-27,27.550481539977763
2018-11-28,30.24924905020774
2018-11-29,30.881531195539218
2018-11-30,28.569375979188518
2018-12-01,27.634805777798118
2018-12-02,28.211582396352043
2018-12-03,27.28121616566575
2018-12-04,27.144196060939663
2018-12-05,26.0544977409629
2018-12-06,25.06025200054752
2018-12-07,22.009490452430054
2018-12-08,23.021398018832677
2018-12-09,23.87001082830676
2018-12-10,23.722346709458535
2018-12-11,23.253020240835365
2018-12-12,23.563776237526753
2018-12-13,23.40054740814477
2018-12-14,22.548063359782454
2018-12-15,22.19634887878397
2018-12-16,22.993339767066743
2018-12-17,23.82827001767441
2018-12-18,25.255226981101146
2018-12-19,27.62123551362599
2018-12-20,29.09153615237361
2018-12-21,30.30586021150326
2018-12-22,29.788420079994953
2018-12-23,34.472032434517274
2018-12-24,38.95214665635392
2018-12-25,34.613348994828925
2018-12-26,35.117402907349295
2018-12-27,33.50444909244354
2018-12-28,33.06227716377482
2018-12-29,36.76644445825447
2018-12-30,36.79656360761918
2018-12-31,36.38032612344375
2019-01-01,36.36151106830075
2019-01-02,39.57137884806996
2019-01-03,40.41939272434583
2019-01-04,40.23002248921748
2019-01-05,41.30270531127798
2019-01-06,40.46315573156067
2019-01-07,40.30412516971622
2019-01-08,39.34091996218084
2019-01-09,39.91229572650005
2019-01-10,36.114791910331114
2019-01-11,33.38888423585622
2019-01-12,33.218383515823255
2019-01-13,32.53523505081697
2019-01-14,32.32572150483086
2019-01-15,33.909275283882415
2019-01-16,32.947505235001415
2019-01-17,32.82373345801093
2019-01-18,32.81125344011823
2019-01-19,33.385108414467666
2019-01-20,33.05099111530712
2019-01-21,32.031941809196375
2019-01-22,32.20926978854987
2019-01-23,32.56631666904016
2019-01-24,32.23053749785631
2019-01-25,32.15340477594779
2019-01-26,32.26693038459796
2019-01-27,31.997966502103147
2019-01-28,29.748940810669072
2019-01-29,29.37990478907865
2019-01-30,29.885686830910966
2019-01-31,30.262846743536226
2019-02-01,29.866544237099284
2019-02-02,30.351745398892106
2019-02-03,30.895929703603414
2019-02-04,30.922484453769098
2019-02-05,31.18980981582676
2019-02-06,30.40034482960786
2019-02-07,30.886096397792887
2019-02-08,32.435459184848405
2019-02-09,35.08705468607992
2019-02-10,35.25567027141683
2019-02-11,36.1844450081545
2019-02-12,36.55893292937916
2019-02-13,37.515706947949276
2019-02-14,37.6673054890888
2019-02-15,37.688273247401746
2019-02-16,38.19243683366996
2019-02-17,39.848139599741636
2019-02-18,45.04216782557228
2019-02-19,47.31808646424036
2019-02-20,46.8620327376843
2019-02-21,47.06466568574289
2019-02-22,47.48620785359907
2019-02-23,48.854940828397886
2019-02-24,49.76867853937024
2019-02-25,44.75368448150223
2019-02-26,44.49977084395241
2019-02-27,44.443669500013456
2019-02-28,47.070264853343126
2019-03-01,49.79220630240619
2019-03-02,48.82482566712175
2019-03-03,48.677224238884854
2019-03-04,46.38701932704345
2019-03-05,47.701359558570296
2019-03-06,50.08608163235768
2019-03-07,50.58085138589772
2019-03-08,49.9699216863008
2019-03-09,49.901003327557575
2019-03-10,49.65102158596026
2019-03-11,48.791634963119016
2019-03-12,48.15853213960838
2019-03-13,48.06522470183533
2019-03-14,47.92433709894259
2019-03-15,48.55749121324144
2019-03-16,50.536141711913004
2019-03-17,50.07173463129203
2019-03-18,49.770367562497725
2019-03-19,50.17684259885229
2019-03-20,50.09488375118316
2019-03-21,50.241482332936584
2019-03-22,49.625771117276116
