Date,supply/profit_sum
2017-11-24,83040359.201138
2017-11-25,82896481.286102
2017-11-26,83122539.926728
2017-11-27,83112545.33176
2017-11-28,82428822.846906
2017-11-29,80113355.466925
2017-11-30,80111836.125146
2017-12-01,82073412.215584
2017-12-02,81540155.749024
2017-12-03,81720701.685044
2017-12-04,82240828.591597
2017-12-05,80605207.743486
2017-12-06,77452143.509824
2017-12-07,78171474.762629
2017-12-08,81490239.998139
2017-12-09,82878068.853498
2017-12-10,78721748.047851
2017-12-11,83884252.691422
2017-12-12,84041842.309587
2017-12-13,83965243.885096
2017-12-14,83475463.847111
2017-12-15,83498148.222023
2017-12-16,83426069.522717
2017-12-17,83630394.839536
2017-12-18,83892514.163129
2017-12-19,83702134.066182
2017-12-20,83356981.797018
2017-12-21,82860709.015797
2017-12-22,79645517.370765
2017-12-23,81013714.314946
2017-12-24,79896571.099025
2017-12-25,81718083.162837
2017-12-26,82658757.994538
2017-12-27,81747677.087905
2017-12-28,80607216.156114
2017-12-29,82522621.191913
2017-12-30,77675313.045064
2017-12-31,82253413.545282
2018-01-01,83011945.115244
2018-01-02,84266093.831635
2018-01-03,84396431.788699
2018-01-04,83526536.37994
2018-01-05,83762054.977963
2018-01-06,84700620.508919
2018-01-07,84720119.581215
2018-01-08,84244802.817568
2018-01-09,84758717.896124
2018-01-10,83433041.092434
2018-01-11,80955518.117188
2018-01-12,84172356.011875
2018-01-13,84665081.066506
2018-01-14,84428170.940774
2018-01-15,81173851.350995
2018-01-16,77135549.870769
2018-01-17,77587309.904705
2018-01-18,77374465.004634
2018-01-19,77752763.371646
2018-01-20,81636059.478337
2018-01-21,76711718.008696
2018-01-22,75862596.065485
2018-01-23,75661311.266385
2018-01-24,79273208.124235
2018-01-25,77928467.102607
2018-01-26,78384620.933034
2018-01-27,81971202.688726
2018-01-28,83805659.090639
2018-01-29,82343151.13759
2018-01-30,75825459.82904
2018-01-31,80097792.105199
2018-02-01,74497280.409303
2018-02-02,72515767.101521
2018-02-03,74304045.525691
2018-02-04,71079228.917101
2018-02-05,66891460.703572
2018-02-06,71771469.514924
2018-02-07,70171485.834184
2018-02-08,72413781.772559
2018-02-09,74688396.563199
2018-02-10,73615102.477514
2018-02-11,71517307.29171
2018-02-12,74733528.031544
2018-02-13,72683938.804937
2018-02-14,76220545.822734
2018-02-15,76090786.919809
2018-02-16,76782585.76553
2018-02-17,77647307.946819
2018-02-18,75116643.706728
2018-02-19,76118348.427869
2018-02-20,72610974.245016
2018-02-21,71110931.553559
2018-02-22,67303479.558895
2018-02-23,72107516.593098
2018-02-24,71004650.619536
2018-02-25,71447647.434074
2018-02-26,73550044.46965
2018-02-27,74270572.19875
2018-02-28,71808297.986719
2018-03-01,73688847.144734
2018-03-02,71632751.853872
2018-03-03,71557278.825918
2018-03-04,73302663.954428
2018-03-05,71145182.656066
2018-03-06,66567334.865378
2018-03-07,64898733.20106
2018-03-08,61730011.528573
2018-03-09,64033974.007468
2018-03-10,61198538.38708
2018-03-11,64060470.943069
2018-03-12,61741694.691278
2018-03-13,61210800.593701
2018-03-14,59179031.076914
2018-03-15,59308097.517548
2018-03-16,59021892.914636
2018-03-17,58371647.81587
2018-03-18,58791516.723919
2018-03-19,59452496.489877
2018-03-20,59550800.311325
2018-03-21,59327367.311066
2018-03-22,58516324.214506
2018-03-23,58874935.620238
2018-03-24,58049901.623684
2018-03-25,58101928.082353
2018-03-26,57366117.083879
2018-03-27,55617859.17972
2018-03-28,54993636.652938
2018-03-29,52761455.051402
2018-03-30,53357643.97825
2018-03-31,53234801.943133
2018-04-01,52580198.591438
2018-04-02,52851691.926959
2018-04-03,54793495.382592
2018-04-04,52551626.826634
2018-04-05,52855645.534077
2018-04-06,52135345.966249
2018-04-07,53492430.429122
2018-04-08,54702262.520578
2018-04-09,54237844.894992
2018-04-10,55533897.015553
2018-04-11,55963401.71886
2018-04-12,55766308.857627
2018-04-13,55661524.002886
2018-04-14,55605595.440406
2018-04-15,55507896.613401
2018-04-16,61576443.413704
2018-04-17,61131925.365502
2018-04-18,62442655.067425
2018-04-19,64271770.702769
2018-04-20,66339748.238137
2018-04-21,65388632.893593
2018-04-22,67228412.979198
2018-04-23,67779538.574359
2018-04-24,70723757.047448
2018-04-25,64716276.696357
