Date,indicators/cdd
2017-01-12,60828113.310826
2017-01-13,44157648.3132929
2017-01-14,21791124.4205075
2017-01-15,12625726.6246433
2017-01-16,8541894.80404028
2017-01-17,47470462.4207763
2017-01-18,7959888.47772275
2017-01-19,33244459.6080285
2017-01-20,127494341.795331
2017-01-21,14250306.5491589
2017-01-22,33062790.0876618
2017-01-23,12963437.6251937
2017-01-24,9866818.90840395
2017-01-25,64787733.1949266
2017-01-26,15801776.0363832
2017-01-27,16709061.2330577
2017-01-28,6435069.79973842
2017-01-29,71366627.3462698
2017-01-30,6053183.16301971
2017-01-31,12465231.6390804
2017-02-01,13405108.5623485
2017-02-02,55909230.3594737
2017-02-03,15761232.8169826
2017-02-04,39357614.8729996
2017-02-05,26819857.6832336
2017-02-06,19142489.3642685
2017-02-07,25462747.9202135
2017-02-08,20132694.9548933
2017-02-09,13855541.9582951
2017-02-10,58497419.0485176
2017-02-11,38254823.9159786
2017-02-12,28241591.5796792
2017-02-13,18621017.6509647
2017-02-14,44772921.9144408
2017-02-15,52344561.5586869
2017-02-16,84537683.7582082
2017-02-17,13977918.1042144
2017-02-18,9098126.91814735
2017-02-19,16933350.4615515
2017-02-20,15110278.9187256
2017-02-21,49014909.2946646
2017-02-22,17332126.1458468
2017-02-23,17206051.5506018
2017-02-24,43980182.8637553
2017-02-25,28337167.0498412
2017-02-26,38303728.2544982
2017-02-27,243822466.897812
2017-02-28,112707724.192255
2017-03-01,93898077.8007745
2017-03-02,209152036.203282
2017-03-03,159230234.604037
2017-03-04,31130688.1598719
2017-03-05,22752445.4507393
2017-03-06,65991898.9190063
2017-03-07,76644988.4732071
2017-03-08,74563297.5810839
2017-03-09,78453690.3197653
2017-03-10,93422530.7810526
2017-03-11,50880073.3008701
2017-03-12,57812800.9197757
2017-03-13,162044010.658453
2017-03-14,193318595.154089
2017-03-15,97486241.8777637
2017-03-16,307683037.696939
2017-03-17,240773273.13259
2017-03-18,81711516.887238
2017-03-19,32070944.3070456
2017-03-20,160882451.23581
2017-03-21,70664939.7393697
2017-03-22,86572509.584313
2017-03-23,39476718.9259305
2017-03-24,70920024.986603
2017-03-25,43912236.9624791
2017-03-26,95439126.4577276
2017-03-27,34323674.6705858
2017-03-28,51072051.5821355
2017-03-29,111596936.234105
2017-03-30,148353943.9986
2017-03-31,285251681.840353
2017-04-01,40952737.1852747
2017-04-02,39952530.6637191
2017-04-03,114033368.855493
2017-04-04,41375876.1609665
2017-04-05,85483267.6377084
2017-04-06,52960056.5450732
2017-04-07,66537220.7308696
2017-04-08,23750534.0277759
2017-04-09,74105644.6920412
2017-04-10,110595201.649394
2017-04-11,101389254.9774
2017-04-12,59522341.3175953
2017-04-13,42205304.3315897
2017-04-14,67480501.3164925
2017-04-15,14174203.2780652
2017-04-16,7385979.17560963
