Date,mining/thermocap
2018-04-09,3549889220.017135
2018-04-10,3558150215.5374603
2018-04-11,3566587867.4996915
2018-04-12,3575008713.181003
2018-04-13,3583610675.852504
2018-04-14,3592109768.451027
2018-04-15,3600613199.41509
2018-04-16,3611131857.826288
2018-04-17,3621537363.9084005
2018-04-18,3631932455.0788727
2018-04-19,3643128998.277333
2018-04-20,3655003521.8824553
2018-04-21,3667413326.506821
2018-04-22,3680113375.017626
2018-04-23,3693169683.3418508
2018-04-24,3707188942.8148756
2018-04-25,3720487024.859171
2018-04-26,3733624199.8746004
2018-04-27,3747183193.7583694
2018-04-28,3760892350.6439195
2018-04-29,3775082460.8556466
2018-04-30,3789133251.9247284
2018-05-01,3802615644.8566947
2018-05-02,3816786668.2360225
2018-05-03,3831923092.0861053
2018-05-04,3848064352.4047265
2018-05-05,3864833124.9139056
2018-05-06,3881208203.5257444
2018-05-07,3896656423.5397406
2018-05-08,3911958803.888385
2018-05-09,3927189530.5777936
2018-05-10,3942647785.165654
2018-05-11,3957121139.3702073
2018-05-12,3971001289.0810666
2018-05-13,3985427793.764424
2018-05-14,4000135441.627223
2018-05-15,4015060968.9869876
2018-05-16,4029303305.109948
2018-05-17,4043782321.4927444
2018-05-18,4057871704.1380525
2018-05-19,4072332437.693521
2018-05-20,4087033664.6981697
2018-05-21,4101694338.085723
2018-05-22,4115711684.0925646
2018-05-23,4128613019.5653243
2018-05-24,4140602400.243235
2018-05-25,4152915796.2788625
2018-05-26,4165282698.579318
2018-05-27,4177069453.9458475
2018-05-28,4188251185.0989313
2018-05-29,4199490879.5302205
2018-05-30,4211145541.7983475
2018-05-31,4223035624.492867
2018-06-01,4234895036.073249
2018-06-02,4247085318.553082
2018-06-03,4259593600.8858337
2018-06-04,4272130910.7258945
2018-06-05,4284252551.407998
2018-06-06,4296746718.251679
2018-06-07,4309418215.511604
2018-06-08,4321874651.147206
2018-06-09,4334457011.622021
2018-06-10,4345939144.745858
2018-06-11,4356930460.863945
2018-06-12,4367706224.023158
2018-06-13,4377637260.540176
2018-06-14,4387757308.819858
2018-06-15,4398089827.911289
2018-06-16,4408337284.7250595
2018-06-17,4418610587.140042
2018-06-18,4429002169.4161005
2018-06-19,4439816147.050691
2018-06-20,4450725226.893318
2018-06-21,4461651033.598137
2018-06-22,4471801345.042334
2018-06-23,4481552375.201769
2018-06-24,4490758396.377702
2018-06-25,4500166506.016476
2018-06-26,4509439976.881603
2018-06-27,4518392653.845652
2018-06-28,4527267562.239654
2018-06-29,4535774371.040847
2018-06-30,4545071660.851547
2018-07-01,4554322654.499151
2018-07-02,4563841260.127368
2018-07-03,4573533594.905545
2018-07-04,4583119646.94669
2018-07-05,4592799906.611415
2018-07-06,4602432004.6817
2018-07-07,4612117643.422335
2018-07-08,4622197883.230751
2018-07-09,4632199379.31181
2018-07-10,4641408276.722335
2018-07-11,4650514767.424304
2018-07-12,4659434275.210534
2018-07-13,4668307391.452421
2018-07-14,4677214788.261907
2018-07-15,4686374915.107528
2018-07-16,4695847102.184603
2018-07-17,4705844970.966843
2018-07-18,4715926898.2655
2018-07-19,4725629304.66376
2018-07-20,4734908748.72561
2018-07-21,4744384400.758108
2018-07-22,4754029516.539468
2018-07-23,4763455624.1424465
2018-07-24,4773086609.806038
2018-07-25,4782928348.026803
2018-07-26,4792655873.696193
2018-07-27,4802205569.029575
2018-07-28,4811766338.61274
