Date,supply/active_1d_1w
2017-11-14,3489984.65283185
2017-11-15,3691875.41426079
2017-11-16,3075237.93311422
2017-11-17,3046611.74257099
2017-11-18,2895618.19294989
2017-11-19,2551083.44722204
2017-11-20,3000582.41642264
2017-11-21,3095656.12118283
2017-11-22,3839848.86976978
2017-11-23,4110624.470291
2017-11-24,4023120.19118049
2017-11-25,3896825.07809349
2017-11-26,3758606.81250313
2017-11-27,3665178.79097845
2017-11-28,3209276.8693953
2017-11-29,3442191.37841065
2017-11-30,3913739.46212265
2017-12-01,3729174.77549351
2017-12-02,3740249.60548771
2017-12-03,3737630.24340507
2017-12-04,3634142.53006872
2017-12-05,3469547.06903844
2017-12-06,2803820.34445028
2017-12-07,2775437.06047159
2017-12-08,3113875.22187391
2017-12-09,3084325.22983831
2017-12-10,3217549.40842993
2017-12-11,3514767.44047786
2017-12-12,3009542.71683392
2017-12-13,3409151.27835905
2017-12-14,3499535.00309261
2017-12-15,3899452.09025079
2017-12-16,4140955.82788526
2017-12-17,3982872.70023808
2017-12-18,4260575.37336597
2017-12-19,3797809.26752089
2017-12-20,3801258.84777144
2017-12-21,3785051.06117955
2017-12-22,3790324.59060737
2017-12-23,4012255.16771308
2017-12-24,4139817.41870667
2017-12-25,4138234.78608236
2017-12-26,3933910.46936909
2017-12-27,3885531.26548879
2017-12-28,3533794.22370942
2017-12-29,3572365.95895589
2017-12-30,3435153.12355721
2017-12-31,3327322.03577652
2018-01-01,3747240.56022631
2018-01-02,3142909.40038881
2018-01-03,3469900.5571019
2018-01-04,3256392.17914496
2018-01-05,3689747.11504833
2018-01-06,4142412.19456597
2018-01-07,3814833.80780023
2018-01-08,3917611.00066758
2018-01-09,3774964.63530751
2018-01-10,4461282.97867103
2018-01-11,4485225.73010968
2018-01-12,4711393.84003965
2018-01-13,5083431.04564512
2018-01-14,5216764.62124189
2018-01-15,4918151.79335685
2018-01-16,5206575.98782465
2018-01-17,4914180.27490853
2018-01-18,5069891.30082203
2018-01-19,5157426.31199057
2018-01-20,5201341.09080157
2018-01-21,4967321.27941459
2018-01-22,4845221.30010709
2018-01-23,4450321.92608031
2018-01-24,4619251.66088487
2018-01-25,4192228.21373723
2018-01-26,3776945.61073701
2018-01-27,3974616.23504828
2018-01-28,3963813.44399293
2018-01-29,4089996.95961565
2018-01-30,4231339.81871474
2018-01-31,4060692.13863078
2018-02-01,4193124.22908889
2018-02-02,4296018.62472818
2018-02-03,4468789.9268341
2018-02-04,4350529.00248746
2018-02-05,4021155.0580401
2018-02-06,4230483.47326821
2018-02-07,4027997.39238479
2018-02-08,4595918.83593255
2018-02-09,4270161.2422831
2018-02-10,4184503.46313611
2018-02-11,4210217.25015601
2018-02-12,3953642.88803456
2018-02-13,4150856.09306637
2018-02-14,3834338.13576842
2018-02-15,3585761.41646595
2018-02-16,3647814.11259843
2018-02-17,3496677.84594249
2018-02-18,3162752.95364546
2018-02-19,2980245.12341109
2018-02-20,2797612.55482921
2018-02-21,2541036.66721735
2018-02-22,2560972.37226237
2018-02-23,4336113.87733676
2018-02-24,5059787.0741757
2018-02-25,5117658.64672209
2018-02-26,4908931.97904036
2018-02-27,5096610.63239704
2018-02-28,4746145.11510237
2018-03-01,2856880.11730237
2018-03-02,2468012.43662946
2018-03-03,2621924.34183267
2018-03-04,2656932.01792066
2018-03-05,2390801.43272242
2018-03-06,2375198.36060835
2018-03-07,2593028.6147086
2018-03-08,2822020.11795297
2018-03-09,2536376.06275393
2018-03-10,2487106.24759644
2018-03-11,2441573.29482702
2018-03-12,2229226.69411897
2018-03-13,2092086.10529401
2018-03-14,2718307.57753164
2018-03-15,2820725.94735147
2018-03-16,2932446.56689197
2018-03-17,2939708.26605705
2018-03-18,3278235.9078831
2018-03-19,3297734.56951212
2018-03-20,2667330.91986668
2018-03-21,2652554.70336684
2018-03-22,2646191.23705898
2018-03-23,2749686.59670774
2018-03-24,2802637.81017934
2018-03-25,2442410.26234254
2018-03-26,2408814.06815699
2018-03-27,2548767.51727625
2018-03-28,2898683.61094714
2018-03-29,3581734.18272849
2018-03-30,3640599.85248004
2018-03-31,3777889.68067757
2018-04-01,3772973.05443397
2018-04-02,3292931.46991734
2018-04-03,2845214.24398734
2018-04-04,2176398.09093583
2018-04-05,2411180.63046939
2018-04-06,2273378.32115298
2018-04-07,2283709.22846851
2018-04-08,2144745.54426706
2018-04-09,2081545.26284635
2018-04-10,2247949.70348684
2018-04-11,2034609.90433271
2018-04-12,1990774.64502532
2018-04-13,1681263.86774715
2018-04-14,2032942.71023923
2018-04-15,2056303.95668119
2018-04-16,1973052.51774538
2018-04-17,1934954.28280318
2018-04-18,1952207.11650034
2018-04-19,1905659.26129568
2018-04-20,2047196.38133818
2018-04-21,2368840.41235793
2018-04-22,2554721.52197183
2018-04-23,2713870.36387692
2018-04-24,2599473.58964268
2018-04-25,2534002.33186612
2018-04-26,2795806.61964977
2018-04-27,2565967.07982805
2018-04-28,2878153.54567414
2018-04-29,3175751.50987059
2018-04-30,2935031.29866576
2018-05-01,2970891.54265601
2018-05-02,3127440.98152298
2018-05-03,3523869.54456938
2018-05-04,3577777.16213296
2018-05-05,3593412.78744588
2018-05-06,3651858.93810318
2018-05-07,3862677.03777331
2018-05-08,2736171.66078475
2018-05-09,2705867.8167604
2018-05-10,2540522.06266706
2018-05-11,2768623.28639873
2018-05-12,2870464.87808242
2018-05-13,2899022.20385917
2018-05-14,2581717.12598308
2018-05-15,2578970.2798579
2018-05-16,2585487.73965591
2018-05-17,2609305.4904531
2018-05-18,2463055.07565438
2018-05-19,2540227.39692284
2018-05-20,2457053.05789656
