Date,mining/revenue_from_fees
2017-03-15,0.002045536
2017-03-16,0.002709603
2017-03-17,0.002786215
2017-03-18,0.001918654
2017-03-19,0.001835771
2017-03-20,0.001794961
2017-03-21,0.002066406
2017-03-22,0.00191491
2017-03-23,0.001965054
2017-03-24,0.002370721
2017-03-25,0.00186667
2017-03-26,0.001860515
2017-03-27,0.002501017
2017-03-28,0.00208633
2017-03-29,0.002212198
2017-03-30,0.002301811
2017-03-31,0.002473997
2017-04-01,0.001851384
2017-04-02,0.002172189
2017-04-03,0.002392258
2017-04-04,0.002088022
2017-04-05,0.002182261
2017-04-06,0.002382921
2017-04-07,0.002325075
2017-04-08,0.001689787
2017-04-09,0.001874769
2017-04-10,0.00209429
2017-04-11,0.001931054
2017-04-12,0.002663477
2017-04-13,0.00202793
2017-04-14,0.002025482
2017-04-15,0.001923256
2017-04-16,0.001803675
2017-04-17,0.001969263
2017-04-18,0.002410465
2017-04-19,0.002640449
2017-04-20,0.002354326
2017-04-21,0.003015988
2017-04-22,0.00249192
2017-04-23,0.002130137
2017-04-24,0.002444398
2017-04-25,0.002547894
2017-04-26,0.002543265
2017-04-27,0.002968072
2017-04-28,0.00266138
2017-04-29,0.002396989
2017-04-30,0.002681331
2017-05-01,0.003582055
2017-05-02,0.003815157
2017-05-03,0.002609301
2017-05-04,0.003131547
2017-05-05,0.002831942
2017-05-06,0.002832171
2017-05-07,0.003526109
2017-05-08,0.003238515
2017-05-09,0.003572025
2017-05-10,0.003529792
2017-05-11,0.003665516
2017-05-12,0.003635498
2017-05-13,0.003641786
2017-05-14,0.003755811
2017-05-15,0.004620593
2017-05-16,0.004752841
2017-05-17,0.00783166
2017-05-18,0.005534308
2017-05-19,0.006092958
2017-05-20,0.005400648
2017-05-21,0.005570899
2017-05-22,0.006308143
2017-05-23,0.008800909
2017-05-24,0.009410762
2017-05-25,0.007526083
2017-05-26,0.007064011
2017-05-27,0.006289447
2017-05-28,0.006635194
2017-05-29,0.006479138
2017-05-30,0.010614907
2017-05-31,0.021579919
2017-06-01,0.008943136
2017-06-02,0.010755217
2017-06-03,0.008219725
2017-06-04,0.009302673
2017-06-05,0.007851702
2017-06-06,0.009552684
2017-06-07,0.009910015
2017-06-08,0.008593782
2017-06-09,0.008978635
2017-06-10,0.007562024
2017-06-11,0.011114412
2017-06-12,0.01792198
2017-06-13,0.010312724
2017-06-14,0.008931523
2017-06-15,0.009818701
2017-06-16,0.008994847
2017-06-17,0.008362979
2017-06-18,0.008734472
2017-06-19,0.009787702
2017-06-20,0.026253937
2017-06-21,0.033744308
2017-06-22,0.025164869
2017-06-23,0.017684851
2017-06-24,0.023592454
2017-06-25,0.015365697
2017-06-26,0.03174364
2017-06-27,0.012336623
2017-06-28,0.028207152
2017-06-29,0.016969105
2017-06-30,0.01294975
2017-07-01,0.011696089
2017-07-02,0.011743757
2017-07-03,0.01545588
2017-07-04,0.013590792
2017-07-05,0.015057046
2017-07-06,0.011191939
2017-07-07,0.012888526
2017-07-08,0.0131374
2017-07-09,0.009415906
2017-07-10,0.010593101
2017-07-11,0.011844378
2017-07-12,0.01361386
2017-07-13,0.013584429
2017-07-14,0.011472496
2017-07-15,0.011787246
2017-07-16,0.011394489
2017-07-17,0.011828215
2017-07-18,0.017379705
2017-07-19,0.013093885
2017-07-20,0.010349257
2017-07-21,0.012820626
2017-07-22,0.009164522
2017-07-23,0.011646077
2017-07-24,0.012698452
2017-07-25,0.014192116
2017-07-26,0.011867324
2017-07-27,0.010720844
2017-07-28,0.011294137
2017-07-29,0.008267305
2017-07-30,0.008346276
