Date,mining/marketcap_thermocap_ratio
2016-08-02,1.574624525261584e-07
2016-08-03,1.4942627083097112e-07
2016-08-04,1.6652172631011231e-07
2016-08-05,1.7138598028444608e-07
2016-08-06,1.6655481310641567e-07
2016-08-07,1.6631044092190393e-07
2016-08-08,1.6676001701320548e-07
2016-08-09,1.7465860097941486e-07
2016-08-10,1.8315123484299458e-07
2016-08-11,1.7641915222768816e-07
2016-08-12,1.7412332500034775e-07
2016-08-13,1.7205203926551568e-07
2016-08-14,1.6653096203395635e-07
2016-08-15,1.6234290789532165e-07
2016-08-16,1.6015674257567839e-07
2016-08-17,1.582554014312054e-07
2016-08-18,1.5676261847844156e-07
2016-08-19,1.5307354215705118e-07
2016-08-20,1.5637437112517735e-07
2016-08-21,1.5472163640783086e-07
2016-08-22,1.5667394232393448e-07
2016-08-23,1.5409169713140238e-07
2016-08-24,1.5273607011981248e-07
2016-08-25,1.52961733064343e-07
2016-08-26,1.5479519024662545e-07
2016-08-27,1.5322338647714784e-07
2016-08-28,1.4928071588108716e-07
2016-08-29,1.483780113421086e-07
2016-08-30,1.4874426458579883e-07
2016-08-31,1.5078833193936345e-07
2016-09-01,1.623982047615876e-07
2016-09-02,1.601695223994055e-07
2016-09-03,1.5792787809641735e-07
2016-09-04,1.5471851252702427e-07
2016-09-05,1.5288167678769185e-07
2016-09-06,1.5051547532153328e-07
2016-09-07,1.5186775833118307e-07
2016-09-08,1.4764991894993765e-07
2016-09-09,1.4578785701647439e-07
2016-09-10,1.4857935994377248e-07
2016-09-11,1.497126236347861e-07
2016-09-12,1.477744504101699e-07
2016-09-13,1.4972029047305703e-07
2016-09-14,1.4846218328609448e-07
2016-09-15,1.4782499842084613e-07
2016-09-16,1.4974320488773142e-07
2016-09-17,1.5365164557607043e-07
2016-09-18,1.5438658794194701e-07
2016-09-19,1.5559450663542593e-07
2016-09-20,1.6491822404988755e-07
2016-09-21,1.653488785426122e-07
2016-09-22,1.564802284980023e-07
2016-09-23,1.5828758271423392e-07
2016-09-24,1.5432349230574158e-07
2016-09-25,1.5286291535949777e-07
2016-09-26,1.5156997718545016e-07
2016-09-27,1.535339067389066e-07
2016-09-28,1.5421426105147954e-07
2016-09-29,1.5213385505793987e-07
2016-09-30,1.5163019876027585e-07
2016-10-01,1.5064794926047945e-07
2016-10-02,1.4927507759954742e-07
2016-10-03,1.4962647713383883e-07
2016-10-04,1.5101575790330468e-07
2016-10-05,1.489987314955036e-07
2016-10-06,1.4408830158473635e-07
2016-10-07,1.4171516435271872e-07
2016-10-08,1.3642710551113347e-07
2016-10-09,1.3625600211444618e-07
2016-10-10,1.297838423907029e-07
2016-10-11,1.2961183830570738e-07
2016-10-12,1.2764607566290912e-07
2016-10-13,1.289604854970387e-07
2016-10-14,1.2842917118406707e-07
2016-10-15,1.2679908014266305e-07
2016-10-16,1.2726855064937874e-07
2016-10-17,1.261864999443175e-07
2016-10-18,1.3170230034809227e-07
2016-10-19,1.292029368542291e-07
2016-10-20,1.257259693369017e-07
2016-10-21,1.2508251015488112e-07
2016-10-22,1.247984236843746e-07
2016-10-23,1.2407667366673075e-07
2016-10-24,1.2296568604362153e-07
2016-10-25,1.1870272535689574e-07
2016-10-26,1.1800275294013607e-07
2016-10-27,1.1643291214560783e-07
2016-10-28,1.1401147494331878e-07
2016-10-29,1.0938532423770607e-07
2016-10-30,1.072444659896606e-07
2016-10-31,1.1410786081142662e-07
2016-11-01,1.0718330186505876e-07
2016-11-02,1.092125375141793e-07
2016-11-03,1.0842310498270871e-07
2016-11-04,1.087574180152055e-07
2016-11-05,1.0953367328784404e-07
2016-11-06,1.0841572208197783e-07
2016-11-07,1.0805500062051111e-07
2016-11-08,1.076347334975841e-07
2016-11-09,1.0397872081652093e-07
2016-11-10,1.043527376620628e-07
2016-11-11,1.0107654520722332e-07
2016-11-12,9.758077799463203e-08
2016-11-13,9.73786112036795e-08
2016-11-14,9.566257034344464e-08
2016-11-15,9.626344620263896e-08
2016-11-16,9.651329729543211e-08
2016-11-17,9.531406531618836e-08
2016-11-18,9.202507841346518e-08
2016-11-19,9.210360356356796e-08
2016-11-20,9.09332676570732e-08
2016-11-21,8.951094133125011e-08
2016-11-22,9.180511798568239e-08
2016-11-23,9.186206453323421e-08
2016-11-24,8.91192449278941e-08
2016-11-25,8.73433232359841e-08
2016-11-26,8.735177861490982e-08
2016-11-27,8.437586242747925e-08
2016-11-28,8.171471068040524e-08
2016-11-29,7.677119718087754e-08
2016-11-30,7.863937917082917e-08
2016-12-01,7.780966094488466e-08
2016-12-02,7.274004559003568e-08
